cross,mean,SE,sex,environ,sire,dam
P1,2.099998017,0.03573891,,1,1,1
P2,7.144963167,0.033103141,,1,2,2
F1,5.088183281,0.00517195,,1,1,2
BC2,6.217461049,0.060046358,,1,3,2
BC1,3.776291195,0.022846278,,1,3,1
F2,4.713263073,0.029050338,,1,3,3
