cross,M,Aa,Ad,AaAa,AaAd,AdAd
P1,1,1,0,1,0,0
BC1,1,0.5,0.5,0.25,0.25,0.25
F1a,1,0,1,0,0,1
F1b,1,0,1,0,0,1
F2a,1,0,0.5,0,0,0.25
F2b,1,0,0.5,0,0,0.25
BC2,1,-0.5,0.5,0.25,-0.25,0.25
P2,1,-1,0,1,0,0
