cross,mean,SE,sex,environ,sire ,dam
P1,0.46875,0.007692308,,1,,
BC1,0.46875,0.005494505,,1,,
F1a,0.43125,0.007142857,,1,,
F1b,0.35625,0.007142857,,1,,
F2a,0.45,0.006043956,,1,,
F2b,0.43125,0.006043956,,1,,
BC2,0.4,0.005494505,,1,,
P2,0.44375,0.007692308,,1,,
