cross,mean,SE,sex,environ,sire,dam
P1,7.75,0.435897436,,1,,
BC1,8.25,0.307692308,,1,,
F1a,7.9375,0.58974359,,1,,
F1b,6.625,0.935897436,,1,,
F2a,8.875,0.282051282,,1,,
F2b,7.375,0.435897436,,1,,
BC2,7.1875,0.371794872,,1,,
P2,6.6875,0.474358974,,1,,
