cross,mean,SE,sex,environ,sire,dam
P1,7.8125,0.41221374,,1,,
BC1,7.375,0.320610687,,1,,
F1a,7.875,0.41221374,,1,,
F1b,7.625,0.377862595,,1,,
F2a,6.375,0.309160305,,1,,
F2b,7.625,0.27480916,,1,,
BC2,7.75,0.297709924,,1,,
P2,6.875,0.366412214,,1,,
