cross,mean,SE,sex,environ,sire,dam
P1,5.9375,0.526717557,,1,,
F1a,6,0.469465649,,1,,
F1b,5.125,0.606870229,,1,,
F2a,5.375,0.515267176,,1,,
F2b,5,0.492366412,,1,,
P2,4.625,0.583969466,,1,,
