"M","LH"
"nornicotine %","number of eggs hatched"
"number of adventitious roots","number of eggs per unit body weight"
"number of branches","number of females"
"number of chaetigerous segments at sex change","number of flowering stems"
"number of clusters per plant","number of flowers"
"number of flower nodes","number of fruit"
"number of flowering stalks","number of fruit per plant "
"number of lateral roots","number of fruits"
"number of leasions","number of fruits per plant"
"number of leaves","number of fry to 10 months"
"number of mesocotyl roots","number of grains per spike"
"number of mite gals","number of kernels"
"number of nodes","number of kernels per row"
"number of nodes above ear","number of locules"
"number of nodes below ear","number of males"
"number of nodes per main stem","number of offspring"
"number of primary branches","number of ovules"
"number of primary laterals","number of parthenocarpic fruits per plant of cumulative harvest"
"number of red spots on the corolla","number of parthenocarpic fruits per plant of first harvest"
"number of secondary branches","number of peduncles per plant"
"number of secondary branches per plant","number of pods"
"number of secondary roots","number of pods per plant"
"number of spike bearing culms","number of racemes per plant"
"number of spikes per plant","number of ramets produced before the flowering season"
"number of tillers","number of rows per ear"
"number of tillers per plant","number of seeds"
"oil concentration","number of seeds per fruit"
"oil content in seeds","number of seeds per plant"
"oil ratio","number of seeds per pod"
"oleic acid","number of siliquae per plant"
"orbit diameter","nursery survival at 6 months"
"P root concentration","nuzzling"
"P shoot concentration","ovariole number"
"palmictic acid","ovary length"
"panicle length","panicles per plant"
"parotid gland length","paternal fitness"
"pedicel length","peak fecundity"
"peduncle length","peanut bud necrosis incidence %"
"pelvic spine length","percent grains per panicle"
"percent lesions","percent of offspring deformed"
"pericarp firmness","percent survival"
"petiole length","pericarp thickness"
"photoperiod response to flowering date at Ft. Pierce","pistil length"
"photoperiod response to flowering date at Gainesville","plant height"
"plant height","pod length"
"plant size","pod weight"
"plant spread","pod width"
"plate number","pod yield"
"pod length","pod yield per plant"
"polyphenol oxidase activity","proportion eggs on cowpea"
"precent defoliation","proportion of males"
"primary branch number","proportion of survivors reproductive"
"pronotum width","proportion that flowered"
"ratio of cutting weight","proportion that set fruit"
"reducing sugars","proportion viable pollen"
"residual variance in biomass tolerance","running speed"
"root dry weight (gm)","seed height"
"root fractal","seed length"
"root fresh weight (g)","seed number"
"root length","seed number "
"root weight","seed per pod"
"seed color","seed pod ratio"
"seed oil","seed set"
"seed oil content","seed size"
"seedling height","seed weight"
"segment 7 length","seed width"
"segment 8 length","seed yield"
"shelling percent","seed yield per plant"
"shoot dry weight (mg)","seed yield pp"
"shoot fresh weight (mg)","seeds per fruit"
"shoot length","seeds per pod"
"shoot weight","sexual activity"
"skin reflectance","sperm length"
"snout-vent length","sperm receptacle length"
"spike length (cm)","straw yield per plant"
"spikelets per spike","style length"
"spine width","survival"
"stearic acid","survival to eating high salinity"
"stem fractal","survival to eating low salinity"
"stem weight","tassel length (cm)"
"sugar %","time to find food"
"test weight (g)","time to first feeding"
"thorax length","time to flowering (anthesis)"
"thorax width","time to germination "
"tibia length","viability"
"total alkaloids %","viability with high food"
"total length","viability with high food/propionic acid"
"total number of aphids","viability with low food"
"total phenol content","yield"
"total soluble solids","yield per plant"
"total soluble sugars","yield per plant (kg)"
"typanum diameter","yield per spike (g)"
"uniformity ratio",""
"up ear leaves number",""
"wing area",""
"wing index score",""
"wing length",""
"wing size",""
"Zn root concentration",""
"Zn shoot concentration",""
