"M","LH"
"% damage","% of eggs laid on mushrooms relative to tomatoes"
"2.5% span length","100-seed weight"
"24 hour estimate, locomotor activity","20 year growth of survivors"
"4 hour estimate, locomotor activity","20 year survival"
"48 hour estimate, locomotor activity","activity"
"60 day bodyweight in females","activity level"
"60 day bodyweight in males","age of 1st reproduction"
"abdominal length","average weight per fruit"
"abdominal width","body weight day 0"
"above ground biomass","body weight day 14"
"acetylene reduced (nmoles/h)","body weight day 21"
"acrophase, locomotor activity","body weight day 28"
"amplitude, locomotor activity","body weight day 35"
"anthocyanin content","body weight day 42"
"aphid survival","body weight day 49"
"arachidic acid","body weight day 56"
"ascorbic acid content","body weight day 63"
"beak length","body weight day 7"
"behenic acid","body weight day 70"
"biomass tolerance","body weight day 77"
"body depth","body weight day 84"
"body length","boll number"
"body shape","boll weight"
"body weight","BxACO fecundity"
"body width","BxACO fem develop time"
"branches per panicle","BxACO female starvation resist"
"bristle size","BxACO male develop time"
"bundle strength (g/tex)","BxACO male starvation resist"
"BxACO female weight","BxSO fecundity"
"BxACO male weight","BxSO fem develop time"
"BxSO female weight","BxSO female starvation resist"
"BxSO male weight","BxSO male develop time"
"calyx length","BxSO male starvation resist"
"canopy temp","capsule length"
"canopy width","condition factor"
"chlorophyll concentration","days to 50% flowering"
"chlorophyll content","days to 50% silking"
"coleoptile length (mm)","days to anthesis"
"condensed tannins","days to first flowering"
"corolla length","days to first fruit set"
"cotyledon area (mm2)","days to flower"
"days taken to first lateral","days to flower initiation"
"diameter at breast height","days to flowering"
"dry above ground biomass","days to harvest"
"dry matter content","days to heading"
"dry weight","days to maturity"
"ear diameter","days to physiological maturity"
"ear height","days to red fruit"
"ear length","days to ripe green fruit"
"ear length ","days to silking"
"eggshell color","development time"
"eicosenoic acid","development time with high food"
"eye-ball size","development time with high food/propionic acid"
"eye-nostril distance","development time with low food"
"fatty acid concentration","difference in days between silking and pollen shedding"
"fatty acid ratio","dispersal tendency"
"fatty acids","distance from stigma to anthers "
"Fe root concentration","dry fodder yield"
"Fe shoot concentration","early fecundity"
"final plant height","egg dispersal"
"finger 1 length","egg dispersion"
"finger 3 length","egg number"
"first siliqua height","egg size"
"flag leaf area","egg survival"
"flag-leaf angle","egg volume "
"flag-leaf area","eggs per plant"
"flag-leaf duration","ejaculation"
"flight time","emergence"
"flower height","filled seeds/catkin"
"flower length","first flowering"
"flower width","fitness at high density of food"
"fluctuating asymmetry","fitness at low density of food"
"foot length","flower days"
"fresh weight","fruit bearing index"
"front femue width","fruit diameter"
"front femur length","fruit length"
"front femur width","fruit number"
"front gemur length","fruit number per plant"
"fruit shape","fruit number per plot"
"genital length","fruit size"
"gill raker length","fruit weight"
"gill raker number","fruit weight per plant"
"ginning percentage","fruit weight per plot (kg)"
"glycoalkaloid content","fruit width"
"grade index","fruit yield"
"grain iron content","fruit-size index (cm)"
"grain zinc content","fusarium rot resistance"
"gross viscosity","germination rate"
"head length","germination success"
"head width","germination time"
"herbivore density","grain weight"
"hind femur length","grain yield"
"internode length","grain yield "
"internode number","grain yield (g/plant) for late sowing"
"iodine","grain yield (g/plant) for normal sowing"
"K root concentration","grain yield per plant"
"K shoot concentration","grains per panicle"
"kernel rows per ears","growth rate"
"kernels per row","growth rate length"
"leaf area","growth rate littoral env vs open env"
"leaf discoloration red-green","growth rate mass"
"leaf length","harvest index"
"leaf length width ratio","harvesting time"
"leaf water potential","hatching success high salinity"
"leaf weight","hatching success low salinity"
"leaf width","heading date"
"leaves number","herbivore density"
"leaves per plant","infection degree"
"length of panicle","infection index"
"lesion-diameter","intromission"
"lesioned area","kernel depth"
"lesions per cm","kernel weight"
"lesions per foliole","kernels per spike"
"lesions per leaf","kernels per spikelet"
"lignoceric acid","keyhole limpet hemocyanin"
"linoleic acid","latency period - disease"
"lint percent","lifespan"
"lint yield pp","longevity, reared on bean"
"long chain fatty acids","longevity, reared on chickpea"
"lower corolla lobe length","maternal fitness"
"lower corolla lobe width","mean stamen length"
"main stem length","mortality rate"
"main stem length (cm)","mounting"
"mesocotyl length","number of capsules"
"micronaire value","number of catkins"
"mid femur length","number of days from seeding to pollen shedding"
"mineral matter","number of days from seeding to silking"
"nicotine %","number of days taken to flower"
"nitrogen fixation component","number of ears per plant"
