cross,mean,SE,sex,environ,sire ,dam
P1,0.49,0.011627907,,1,,
F1a,0.485,0.011046512,,1,,
F1b,0.5025,0.011046512,,1,,
F2a,0.505,0.00872093,,1,,
F2b,0.515,0.009883721,,1,,
P2,0.505,0.011046512,,1,,
