cross,mean,SE,sex,environ,sire ,dam
P1,0.4875,0.01043956,,1,,
F1a,0.43125,0.010989011,,1,,
F1b,0.334375,0.010989011,,1,,
F2a,0.5375,0.009340659,,1,,
F2b,0.45,0.009340659,,1,,
P2,0.409375,0.011538462,,1,,
