cross,mean,SE,sex,environ,sire ,dam
P1,0.5,0.011627907,,1,,
F1a,0.40625,0.011627907,,1,,
F1b,0.3375,0.011627907,,1,,
F2a,0.49375,0.009302326,,1,,
P2,0.4125,0.011627907,,1,,
