NA,dataset,par,Aa,Ad,Ca,Mea,Med,AaAa,AaAd,AaCa,AdAd,AdCa,Xa,AdXa,XaXa,XaCa,Ya,AdYa,XaYa,YaCa,Xd,AaXa,AaXd,AdXd,XaXd,XdXd,XdCa,AaYa
1,A.tetanothrixa.csv,Model Weighted Average,0.031604897,0.250237559,0.618125567,0.023563946,-0.065046964,0.228053914,-0.804891015,0.092514468,0.297025619,-0.250237559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,A.tetanothrixa.csv,Unconditional Standard Error,0.144882853,0.694921714,1.21159739,0.12580642,0.214279079,0.531495391,1.922932228,0.264862296,0.795811925,0.694921714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,A.tetanothrixa.csv,vi,0.093588766,0.110893951,0.206433439,0.098157999,0.09985491,0.128843116,0.136872585,0.105750862,0.115872442,0.110893951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,ACO.fecund.csv,Model Weighted Average,3.424374776,1.296723747,0,NA,NA,0,NA,NA,0.031520504,0,0.409807851,-5.941562589,0,-1.296723747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,ACO.fecund.csv,Unconditional Standard Error,2.291980908,1.324974254,0,NA,NA,0,NA,NA,0.064075056,0,2.264674156,4.636398591,0,1.324974254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,ACO.fecund.csv,vi,0.668360484,0.476001877,0.003380939,NA,NA,0.001293238,NA,NA,0.028652925,0.002896367,0.643996315,0.64600728,0.003373203,0.476001877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,ACO.fem.starv.csv,Model Weighted Average,7.025234913,-6.096301935,-0.002469043,0,0,0,NA,NA,0,0,0,0,0,5.956352218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,ACO.fem.starv.csv,Unconditional Standard Error,0.814844652,6.040135919,0.005187757,0,0,0,NA,NA,0,0,0,0,0,6.035605095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,ACO.fem.starv.csv,vi,0.993738898,0.496483435,0.021568005,0.00393558,0.003041292,0.003035052,NA,NA,0.006108078,0.0098882,0.00598536,0.005873805,0.003300291,0.496483435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,ACO.fem.time.csv,Model Weighted Average,13.08657657,1.036812694,0,NA,NA,-0.380817905,NA,NA,-1.485693946,0,-0.336576575,-3.32684685,-0.252670244,0.434606896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,ACO.fem.time.csv,Unconditional Standard Error,2.35472207,1.11808711,0,NA,NA,0.616613533,NA,NA,0.934795904,0,2.35472207,4.70944414,0.900311958,0.694229206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,ACO.fem.time.csv,vi,0.903403504,0.457093258,5.68E-69,NA,NA,0.204166007,NA,NA,0.693330634,4.15E-69,0.792380375,0.304216121,0.442859536,0.202550565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,ACO.femwt.csv,Model Weighted Average,0.04,0,0,NA,NA,0,NA,NA,0.07,-0.005,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,ACO.femwt.csv,Unconditional Standard Error,7.28E-17,0,0,NA,NA,0,NA,NA,8.10E-17,4.82E-17,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
