NA,dataset,par,Aa,Ad,Ca,Mea,Med,AaAa,AaAd,AaCa,AdAd,AdCa,Xa,AdXa,XaXa,XaCa,Ya,AdYa,XaYa,YaCa,Xd,AaXa,AaXd,AdXd,XaXd,XdXd,XdCa,AaYa
15,ACO.femwt.csv,vi,1,7.74E-10,1.92E-09,NA,NA,1.70E-10,NA,NA,1,0.999999999,1.15E-09,1.91E-09,1.39E-10,8.09E-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,ACO.male.starv.csv,Model Weighted Average,0,0.636574095,-0.62499998,NA,0.512152777,-0.94521602,NA,NA,-0.871913598,0,0,0.20833331,-0.512152763,NA,0,0,-0.318287047,-0.472608035,NA,NA,NA,NA,NA,NA,NA,NA
17,ACO.male.starv.csv,Unconditional Standard Error,0,1.523919783,1.73E-08,NA,0.739776235,1.365312048,NA,NA,1.865569283,0,0,4.21E-08,0.739776214,NA,0,0,0.761959892,0.682656045,NA,NA,NA,NA,NA,NA,NA,NA
18,ACO.male.starv.csv,vi,1.70E-34,0.277777785,1,NA,0.277777776,0.277777768,NA,NA,0.333333325,6.31E-35,9.79E-35,1,0.277777776,NA,4.71E-35,6.31E-35,0.277777785,0.277777785,NA,NA,NA,NA,NA,NA,NA,NA
19,ACO.male.time.csv,Model Weighted Average,10.62628533,0,0,NA,NA,0,NA,NA,0,-0.458650654,1.615657004,-2.445155783,-0.036084245,NA,0.008057667,0.458650654,0,0,NA,NA,NA,NA,NA,NA,NA,NA
20,ACO.male.time.csv,Unconditional Standard Error,3.296964102,0,0,NA,NA,0,NA,NA,0,0.681636391,3.287635008,3.593121853,0.070616472,NA,0.016447276,0.681636391,0,0,NA,NA,NA,NA,NA,NA,NA,NA
21,ACO.male.time.csv,vi,0.832809465,0.001073477,0.02382501,NA,NA,0.001154653,NA,NA,0.001208951,0.263290019,0.306778124,0.308663878,0.050435332,NA,0.021937854,0.263290019,0.001073477,0.001154653,NA,NA,NA,NA,NA,NA,NA,NA
22,ACO.malewt.csv,Model Weighted Average,0.023877557,0,0.000946056,NA,NA,0,NA,NA,0.0125,0.000291178,0.002064154,-0.011730332,0,NA,0.004362234,-0.000291178,0,0,NA,NA,NA,NA,NA,NA,NA,NA
23,ACO.malewt.csv,Unconditional Standard Error,0.013151311,0,0.001773716,NA,NA,0,NA,NA,1.26E-16,0.007903501,0.006986119,0.013891422,0,NA,0.007866114,0.007903501,0,0,NA,NA,NA,NA,NA,NA,NA,NA
24,ACO.malewt.csv,vi,0.692320346,5.35E-74,0.21188787,NA,NA,6.65E-75,NA,NA,1,0.378904432,0.352766486,0.487167579,4.29E-75,NA,0.498048856,0.378904432,5.35E-74,6.65E-75,NA,NA,NA,NA,NA,NA,NA,NA
25,aphid.num.csv,Model Weighted Average,2.940149925,0.624602326,5.99186608,2.393574283,0.020035955,-1.252934166,-13.47655067,0.309057681,0.576819713,-0.627998942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,aphid.num.csv,Unconditional Standard Error,4.987575723,1.53276809,8.912539771,4.185769283,0.574708451,2.542669904,22.05713499,0.9121235,1.537245801,1.490091961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,aphid.num.csv,vi,0.24452835,0.06945482,0.32576151,0.209919363,0.063917969,0.125367501,0.258228967,0.073669622,0.057245716,0.06945482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,aphid.survA.csv,Model Weighted Average,0.071832183,0.001575174,0.004547116,0.030505359,0.015452739,-0.043630341,0.00444041,-0.039446001,0.001144773,-0.001575174,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,aphid.survA.csv,Unconditional Standard Error,0.10395963,0.025454232,0.014899775,0.055985738,0.032360318,0.082599472,0.026859401,0.073287707,0.01543781,0.025454232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,aphid.survA.csv,vi,0.336708066,0.073834647,0.063361265,0.181463171,0.102999655,0.156554483,0.044187192,0.17170858,0.057613329,0.073834647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,aphid.survB.csv,Model Weighted Average,0.02518574,0.207287314,0.026564325,0.210475038,0.204844947,-0.010224235,0,-0.007414218,-0.29553366,-0.207287314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,aphid.survB.csv,Unconditional Standard Error,0.045191239,0.318471589,0.144707682,0.182425008,0.205112834,0.02004104,0,0.014673213,0.522063614,0.318471589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,aphid.survB.csv,vi,0.125091638,0.261117836,0.487648497,0.577075262,0.506320011,0.048482294,0.002437627,0.041056639,0.359888296,0.261117836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,ban.inf.csv,Model Weighted Average,-7.769510935,-0.084470981,1.204279163,2.104884596,1.196435994,-16.76239786,-10.22916488,14.38877225,-1.136062302,2.179506778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,ban.inf.csv,Unconditional Standard Error,6.065060352,2.894677523,2.0081917,3.38119747,2.265176762,9.055957784,14.12324249,6.227103637,2.552065193,3.692517917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
36,ban.inf.csv,vi,0.707605883,0.161029114,0.364952139,0.328172159,0.212223541,0.815463547,0.402479785,0.889714547,0.140434087,0.382508792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,ban.osa.csv,Model Weighted Average,-2.976324325,1.864436977,-0.214973394,2.155812577,-4.637753274,-22.21130502,-4.48600158,0.108529426,-27.22619285,2.372157402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,ban.osa.csv,Unconditional Standard Error,3.750869639,7.675370924,0.614879006,2.648215915,3.583968409,7.578188398,6.452069316,0.394408908,8.000406645,2.817419157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,ban.osa.csv,vi,0.455036017,0.187384099,0.164977331,0.459560546,0.709657869,0.917524095,0.378630731,0.0798965,0.943142097,0.486536222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,ban.sq.csv,Model Weighted Average,-0.068630239,-181.6276951,0.01467708,0.03741616,-16.66517175,-38.94108417,-0.236264891,0.023678627,158.1176667,-1.541723187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,ban.sq.csv,Unconditional Standard Error,0.245853619,35.37047544,0.417230151,0.207517605,3.710122105,14.97921009,0.734500561,0.235872916,23.43147146,2.460703881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,ban.sq.csv,vi,0.068827252,0.999438446,0.140770329,0.073558727,0.991878356,0.928770629,0.073267224,0.063277949,0.999808694,0.321332101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,bh.sq.csv,Model Weighted Average,4.736562493,-123.2723521,-4.423519282,-0.831746394,0.058826024,-4.109747848,61.31268988,-0.005187224,131.2539044,-2.314852588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,bh.sq.csv,Unconditional Standard Error,6.388034401,23.08541172,4.433194377,1.624059809,0.225994398,7.820884065,13.15035393,0.196854189,18.46754219,7.842156209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,bh.sq.csv,vi,0.414097525,0.999396642,0.568843932,0.159490936,0.056440427,0.197194059,0.974748814,0.054840047,0.999977329,0.554494825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,biomassLCA.csv,Model Weighted Average,-0.382468729,19.17062369,NA,NA,NA,-19.94530258,-2.320753238,NA,38.06213979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,biomassLCA.csv,Unconditional Standard Error,1.047519376,32.25192439,NA,NA,NA,26.8037735,5.772752369,NA,64.22842818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,biomassLCA.csv,vi,0.097896512,0.326107464,NA,NA,NA,0.424940673,0.109210085,NA,0.324510321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,Caloptilia.csv,Model Weighted Average,0.000922872,0.076160714,-0.003160003,-0.001280927,-0.061447095,-0.125745325,0.069198389,-0.049831574,0.419584798,-0.076160714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,Caloptilia.csv,Unconditional Standard Error,0.004829753,0.156923867,0.008130078,0.004458204,0.130532876,0.227562891,0.147561748,0.094643424,0.57772331,0.156923867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,Caloptilia.csv,vi,0.036900621,0.136730241,0.044533608,0.039636654,0.12629064,0.175147905,0.104141489,0.152954889,0.364176509,0.136730241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,catkin.gardens.csv,Model Weighted Average,41.01140499,39.69779466,NA,NA,NA,58.01620515,-9.956824375,NA,-0.600046487,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,catkin.gardens.csv,Unconditional Standard Error,9.580901148,47.81133339,NA,NA,NA,24.28514223,19.07637034,NA,20.5417558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,catkin.gardens.csv,vi,0.998554832,0.575232128,NA,NA,NA,0.969560657,0.315232499,NA,0.38765675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,catkin.num.csv,Model Weighted Average,18.22955184,-6.980350931,NA,NA,NA,3.835019916,8.02493177,NA,-7.321847852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,catkin.num.csv,Unconditional Standard Error,12.91814318,11.968488,NA,NA,NA,7.264580381,15.88684048,NA,12.18172622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,catkin.num.csv,vi,0.721389817,0.2222436,NA,NA,NA,0.143120449,0.134017884,NA,0.252594903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,chloroLCA.csv,Model Weighted Average,-3.751168592,0.02772339,NA,NA,NA,0.146290523,1.784393363,NA,-0.025027692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,chloroLCA.csv,Unconditional Standard Error,1.955537453,0.425524132,NA,NA,NA,0.491425278,3.406954591,NA,0.944312875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,chloroLCA.csv,vi,0.873954523,0.102948573,NA,NA,NA,0.133304272,0.258704323,NA,0.102943654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
61,col.ban.csv,Model Weighted Average,-18.27226613,6.082150417,-0.106413321,10.26771218,-10.86950637,-15.66851707,24.66687708,0.022722137,-2.197980982,0.208400428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,col.ban.csv,Unconditional Standard Error,6.656885126,10.73393384,0.319400441,3.176297284,3.803402567,8.509392491,14.46562364,0.249103909,5.192269262,0.788288989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,col.ban.csv,vi,0.911492162,0.224147271,0.074226878,0.923099792,0.907893765,0.789046561,0.792395781,0.059313716,0.139418324,0.101588721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,cro.inf.csv,Model Weighted Average,-2.279718085,13.50612174,-0.068436927,0.591783144,2.002904446,8.089742074,-0.510858366,-0.564780363,0.907359165,2.413688856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,cro.inf.csv,Unconditional Standard Error,3.714230294,22.07541262,0.930273,1.75953845,3.711282498,13.92416632,2.718393401,1.574661928,6.272082431,4.198766786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,cro.inf.csv,vi,0.352938515,0.354822383,0.209822101,0.207625672,0.285084378,0.334113336,0.159899687,0.179928673,0.222679905,0.317598405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,da.sq.csv,Model Weighted Average,34.75102308,-148.6784855,-0.424319407,-17.62350552,-0.252412897,-0.151217835,-0.132864939,2.521169821,142.2605083,-2.256640698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,da.sq.csv,Unconditional Standard Error,4.122616522,17.35021357,0.805760644,3.989717409,0.618952413,0.671361059,0.587024788,3.525557055,15.4195228,3.252211205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,da.sq.csv,vi,0.999646804,0.999934202,0.179325017,0.997675262,0.090465956,0.05126973,0.054068827,0.399379155,0.999994523,0.382099386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,dar.bho.csv,Model Weighted Average,0.512349143,-38.63941073,-0.476829027,0.335892169,-7.417454478,-30.62327444,8.449079693,0.929503598,6.194609234,-0.849992888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,dar.bho.csv,Unconditional Standard Error,1.241516743,37.24171707,0.998109931,0.853839945,7.444771024,25.84993741,11.84770095,2.345673188,13.57456468,1.840865776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,dar.bho.csv,vi,0.161969865,0.635892032,0.211078378,0.149627257,0.602492701,0.703930418,0.424001864,0.169064419,0.270127637,0.205156274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,diff.silk.shed.csv,Model Weighted Average,0.528328945,0.031718479,NA,NA,NA,-0.034915864,0.103607306,NA,0.035799881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,diff.silk.shed.csv,Unconditional Standard Error,0.191634887,0.066714023,NA,NA,NA,0.074912373,0.227988676,NA,0.074362201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,diff.silk.shed.csv,vi,0.902547647,0.098180325,NA,NA,NA,0.10125046,0.080790697,NA,0.104224394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,dry.biomass.csv,Model Weighted Average,27.04604315,7.422614673,NA,NA,NA,174.8366551,48.42198678,NA,67.31173213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,dry.biomass.csv,Unconditional Standard Error,37.88900862,209.5852244,NA,NA,NA,166.2330697,105.0987827,NA,151.0338831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,dry.biomass.csv,vi,0.474963922,0.488890407,NA,NA,NA,0.72425629,0.298842657,NA,0.430225881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,E.s-gracilis.csv,Model Weighted Average,0.000665277,-0.00168153,-7.32E-05,-0.011868399,-0.00778628,0.002031963,0.005500401,-0.000328628,0.004742489,0.001681544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,E.s-gracilis.csv,Unconditional Standard Error,0.002027308,0.00546422,0.004900247,0.022929291,0.015847505,0.006750433,0.011829736,0.000817205,0.01028904,0.006683072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,E.s-gracilis.csv,vi,0.115344434,0.104727625,0.145830293,0.193934293,0.157727551,0.111702625,0.124550961,0.102280001,0.109488213,0.10469562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,early.fecund.csv,Model Weighted Average,-33.71680129,-1.151902585,0,0,-1.294465223,42.33173343,NA,NA,1.268754143,0,-5.590135761,1.220034865,2.970647861,0.273119072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,early.fecund.csv,Unconditional Standard Error,10.26169703,4.183517221,0,0,2.482346292,9.624036511,NA,NA,3.377916845,0,9.258912224,5.738438421,6.394736959,0.898928085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,early.fecund.csv,vi,0.870163398,0.043961423,0.002312607,0.001023246,0.052365601,0.87435778,NA,NA,0.052602014,0.001101579,0.184722895,0.113730957,0.077045341,0.043961423,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,eggs.hatched1.csv,Model Weighted Average,0.005810343,-0.508915722,-0.631140678,NA,NA,0.508915722,NA,NA,NA,-2.389117222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,eggs.hatched1.csv,Unconditional Standard Error,0.247013891,1.149405604,1.139550048,NA,NA,1.149405604,NA,NA,NA,2.373207332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,eggs.hatched1.csv,vi,0.03697201,0.092921005,0.198799408,NA,NA,0.092921005,NA,NA,NA,0.595157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
88,eggs.laid.csv,Model Weighted Average,-0.138375487,0.013322095,NA,NA,NA,0.130593524,0.019386991,NA,0.004795884,NA,-0.018677307,0.012245172,-0.002180418,NA,NA,NA,NA,NA,0.020236691,0.065422188,-0.0010829,0.006937476,-0.001139699,0.010870134,NA,NA
89,eggs.laid.csv,Unconditional Standard Error,0.039535139,0.037166594,NA,NA,NA,0.093547419,0.043161518,NA,0.017487478,NA,0.032497452,0.028402656,0.008686791,NA,NA,NA,NA,NA,0.038261739,0.098094991,0.019847831,0.017625813,0.006649915,0.021276844,NA,NA
90,eggs.laid.csv,vi,0.905627629,0.186937313,NA,NA,NA,0.689796,0.208527844,NA,0.150610469,NA,0.230023604,0.144140349,0.09192188,NA,NA,NA,NA,NA,0.211145044,0.349293083,0.18779904,0.150222779,0.074270037,0.188796129,NA,NA
91,FA.dros.csv,Model Weighted Average,0.210185717,0.037219357,NA,NA,NA,0.003509068,-0.006425009,NA,0.019024264,NA,-0.06188625,-0.026808929,-0.001771391,NA,NA,NA,NA,NA,-0.04971454,-0.019137456,-0.010787105,-0.042805832,-0.009631477,0.026392988,NA,NA
92,FA.dros.csv,Unconditional Standard Error,0.047805484,0.059552248,NA,NA,NA,0.01971187,0.021826251,NA,0.039004568,NA,0.048026923,0.046509777,0.008433319,NA,NA,NA,NA,NA,0.070867131,0.034993529,0.025028367,0.068621941,0.024276694,0.055543868,NA,NA
93,FA.dros.csv,vi,0.998614966,0.343738087,NA,NA,NA,0.184264416,0.142299928,NA,0.257305677,NA,0.703090781,0.317860911,0.14539025,NA,NA,NA,NA,NA,0.427310571,0.268385521,0.180412364,0.353930868,0.141110617,0.287606436,NA,NA
94,fem.num.csv,Model Weighted Average,0.380357041,-8.75662569,0.003783945,1.308030396,-0.018213426,-4.330893441,-2.711941719,-6.891951032,-1.917865295,0.00218785,0.018759257,0.00108679,0.093448295,5.800470104,NA,NA,NA,NA,0.022661415,-0.348685525,-0.001124417,-0.007525249,-1.902953903,4.814559219,0.010270698,NA
95,fem.num.csv,Unconditional Standard Error,0.593024132,5.174323882,0.0080643,0.685382438,0.036283038,3.058033101,1.560302136,0.61815244,2.822006151,0.005017694,0.037842786,0.003111466,0.185379073,0.417108483,NA,NA,NA,NA,0.045463533,0.683569365,0.003221082,0.01890429,2.785117113,0.641475653,0.02071211,NA
96,fem.num.csv,vi,0.244400322,0.684720611,0.018600398,0.738827521,0.021772507,0.686124186,0.693556503,0.991101913,0.291390652,0.011357635,0.021696145,0.003214144,0.025037425,0.991712886,NA,NA,NA,NA,0.010126487,0.029086825,0.003793896,0.008150217,0.299259458,0.956462374,0.017669955,NA
97,flight.time.csv,Model Weighted Average,-38.82968985,-0.282984112,-1.380491698,NA,NA,0.282984112,NA,NA,NA,0.90076427,-3.022441873,0.973014569,-14.27491912,NA,0.203573247,-0.973014569,0.040021025,NA,14.27491912,NA,NA,NA,NA,NA,-0.05065417,-0.068123628
98,flight.time.csv,Unconditional Standard Error,10.60714091,0.790949091,2.732507186,NA,NA,0.790949091,NA,NA,NA,2.208295809,5.677469771,2.497258558,17.00049484,NA,0.508835709,2.497258558,0.147586932,NA,17.00049484,NA,NA,NA,NA,NA,0.218958339,0.30571289
99,flight.time.csv,vi,0.886646887,0.040807161,0.071204268,NA,NA,0.040807161,NA,NA,NA,0.069054316,0.108645555,0.066685005,0.437266978,NA,0.040125912,0.066685005,0.025965526,NA,0.437266978,NA,NA,NA,NA,NA,0.023015368,0.025083061
100,flower.years.csv,Model Weighted Average,-0.246332217,-0.152783679,-0.01718703,NA,NA,0.046707704,0.098312055,0.143254636,-0.021502868,0.16733379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,flower.years.csv,Unconditional Standard Error,0.14599378,0.201656695,0.134962054,NA,NA,0.085573413,0.170235389,0.194498954,0.061454579,0.169610391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102,flower.years.csv,vi,0.710417856,0.381270208,0.555353971,NA,NA,0.228556574,0.247585624,0.381270208,0.121429032,0.532222114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
103,flowerprop.years.csv,Model Weighted Average,-0.025092067,0.065348574,-0.004007706,NA,NA,0.003501576,-0.032938718,-0.065348574,0.118854684,0.012909666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,flowerprop.years.csv,Unconditional Standard Error,0.048763346,0.133245606,0.019770717,NA,NA,0.054287562,0.076317122,0.133245606,0.190034015,0.038561146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,flowerprop.years.csv,vi,0.226931248,0.212591903,0.18574574,NA,NA,0.156506985,0.177395831,0.212591903,0.341289046,0.177221185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,flowertimeLCA.csv,Model Weighted Average,0.80384508,-0.15424872,NA,NA,NA,0.018233466,-2.397208967,NA,-0.486801535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,flowertimeLCA.csv,Unconditional Standard Error,0.759054745,0.423302401,NA,NA,NA,0.24161313,3.563224201,NA,1.283776653,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
108,flowertimeLCA.csv,vi,0.656146203,0.132911465,NA,NA,NA,0.125946152,0.409940554,NA,0.132913359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,fruit.years.csv,Model Weighted Average,0.070383436,0.061115934,0.048699879,NA,NA,0.001104575,-0.069239171,-0.061115934,0.107809326,0.006724916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
