"Var1","Freq","prop.epi"
"% damage",1,1
"% of eggs laid on mushrooms relative to tomatoes",1,0.485533717052318
"100-seed weight",3,0
"2.5% span length",6,0.644566757455552
"20 year growth of survivors",1,0.935382061463581
"20 year survival",1,0.918736303675095
"24 hour estimate, locomotor activity",1,0.481353097205041
"4 hour estimate, locomotor activity",1,0.321356588547646
"48 hour estimate, locomotor activity",1,0.413724676054752
"60 day bodyweight in females",1,0.195492883542381
"60 day bodyweight in males",1,0
"abdominal length",4,0.313861184996311
"abdominal width",4,0.195179850279735
"above ground biomass",1,NA
"acetylene reduced (nmoles/h)",1,1
"acrophase, locomotor activity",1,0
"activity",6,0.0895374265869203
"activity level",1,0.488272488692882
"age of 1st reproduction",1,1
"amplitude, locomotor activity",1,0.372267821375612
"anthocyanin content",4,0.275556310910087
"aphid survival",2,0
"arachidic acid",3,0
"ascorbic acid content",7,0.414918815455634
"average weight per fruit",2,NA
"beak length",2,0.410754932797771
"behenic acid",3,1
"biomass tolerance",1,0
"body depth",2,0.394822128730836
"body shape",2,0.316481738748957
"body weight",2,1
"body weight day 0",1,NA
"body weight day 14",1,NA
"body weight day 21",1,1
"body weight day 28",1,NA
"body weight day 35",1,NA
"body weight day 42",1,NA
"body weight day 49",1,NA
"body weight day 56",1,1
"body weight day 63",1,1
"body weight day 7",1,1
"body weight day 70",1,1
"body weight day 77",1,0
"body weight day 84",1,1
"boll number",2,0.417097503156378
"boll weight",2,0.369369105464921
"branches per panicle",1,1
"bristle size",1,0.306676568353444
"bundle strength (g/tex)",6,0.75
"BxACO fecundity",1,0.634379919226179
"BxACO fem develop time",1,0.101953497518654
"BxACO female starvation resist",1,0
"BxACO female weight",1,0.652173913043477
"BxACO male develop time",1,0
"BxACO male starvation resist",1,0.249999984937591
"BxACO male weight",1,0.343618459190852
"BxSO fecundity",1,0.634704475787042
"BxSO fem develop time",1,0
"BxSO female starvation resist",1,0
"BxSO female weight",1,0
"BxSO male develop time",1,0
"BxSO male starvation resist",1,0
"BxSO male weight",1,0
"calyx length",1,0
"canopy temp",1,0.508990867971132
"canopy width",4,0
"capsule length",4,0.527052002786824
"chlorophyll concentration",10,0
"chlorophyll content",2,0
"coleoptile length (mm)",5,0.140106876893982
"condensed tannins",1,NA
"condition factor",2,0.263412849335198
"corolla length",1,0
"cotyledon area (mm2)",1,0
"days taken to first lateral",1,NA
"days to 50% flowering",3,0.208348946793664
"days to 50% silking",2,0
"days to anthesis",2,1
"days to first flowering",4,0.844370860927152
"days to first fruit set",4,NA
"days to flower",12,0.539957949766872
"days to flower initiation",4,0.336737696023261
"days to flowering",2,0
"days to harvest",4,0.135372632696481
"days to heading",2,0
"days to maturity",9,0.514597090536241
"days to physiological maturity",1,NA
"days to red fruit",4,0
"days to ripe green fruit",4,0
"days to silking",1,0
"development time",12,0.292074002639865
"development time with high food",5,0.370798624054062
"development time with high food/propionic acid",5,0.644148037918166
"development time with low food",4,0.297286671048379
"diameter at breast height",2,0.815921992611635
"difference in days between silking and pollen shedding",1,0
"dispersal tendency",1,0.840555525826346
"distance from stigma to anthers ",1,0.686273502349381
"dry above ground biomass",1,1
"dry fodder yield",2,NA
"dry matter content",4,0.629981601963381
"dry weight",1,0
"ear diameter",19,0.0406268464265042
"ear height",4,0.150107548527909
"ear length",3,0.270793985544168
"ear length ",17,0.0412109796849104
"early fecundity",1,0.55664101335225
"egg dispersal",4,0.122690330983049
"egg dispersion",4,0.129428953239376
"egg number",2,0.5
"egg size",2,0.554819774986749
"egg survival",1,NA
"egg volume ",2,0.592689279825774
"eggs per plant",4,0
"eggshell color",1,1
"eicosenoic acid",3,0.304158337596161
"ejaculation",1,1
"emergence",6,0.0483057515396216
"eye-ball size",1,0
"eye-nostril distance",2,NA
"fatty acid concentration",18,0.172982838597404
"fatty acid ratio",3,0.333333333333333
"fatty acids",3,0.113241098076892
"Fe root concentration",2,0
"Fe shoot concentration",2,0
"filled seeds/catkin",1,0
"final plant height",2,0.5
"finger 1 length",2,1
"finger 3 length",2,1
"first flowering",4,0.489544256760645
"first siliqua height",4,0.75
"fitness at high density of food",4,0.666666666666667
"fitness at low density of food",4,1
"flag leaf area",3,0.442758534572468
"flag-leaf angle",4,0
"flag-leaf area",4,0.218595737379728
"flag-leaf duration",4,0.333333333333333
"flight time",1,0
"flower days",4,0.190993454481262
"flower height",1,0.185646509086434
"flower length",1,0
"flower width",1,0
"fluctuating asymmetry",1,0
"foot length",2,1
"fresh weight",2,0.143581564389616
"front femue width",1,0.262841781430565
"front femur length",4,0.323457648272193
"front femur width",2,0.428563254690087
"front gemur length",1,0.762244670105556
"fruit bearing index",6,0.139559647185629
"fruit diameter",1,0
"fruit length",5,0.316684524769633
"fruit number",1,0
"fruit number per plant",2,0.353968227247286
"fruit number per plot",6,0.179313365732036
"fruit shape",3,0.195722017274718
"fruit size",1,0
"fruit weight",18,0.378576028820548
"fruit weight per plant",2,0.6396577795578
"fruit weight per plot (kg)",6,0.426772208372552
"fruit width",4,0.333333333333333
