"Var1","Freq","prop.epi"
"fruit yield",8,0.386782677870452
"fruit-size index (cm)",6,0.341210552122195
"fusarium rot resistance",1,0.803804627050128
"genital length",4,0.477903547998052
"germination rate",1,0.809571317468318
"germination success",1,0.563768229800233
"germination time",1,0.715409742748165
"gill raker length",1,0.638290144195831
"gill raker number",3,0
"ginning percentage",6,0.548418083726272
"glycoalkaloid content",4,1
"grade index",4,0.340413207369592
"grain iron content",1,NA
"grain weight",3,0.160299347564403
"grain yield",12,0.428270203436761
"grain yield ",1,0
"grain yield (g/plant) for late sowing",1,0.401953751925015
"grain yield (g/plant) for normal sowing",1,0
"grain yield per plant",2,0.326852820284716
"grain zinc content",1,0
"grains per panicle",2,0.938990436679082
"gross viscosity",1,0
"growth rate",1,NA
"growth rate length",2,0
"growth rate littoral env vs open env",1,NA
"growth rate mass",2,0.297040690706361
"harvest index",8,0.295015596860105
"harvesting time",2,0
"hatching success high salinity",1,NA
"hatching success low salinity",1,0
"head length",2,0.709602526615569
"head width",2,0
"heading date",1,0
"herbivore density",29,0.685217819403095
"hind femur length",4,0.262431356902424
"infection degree",1,0.417022474347284
"infection index",1,NA
"internode length",9,0.318379181326223
"internode number",4,0
"intromission",1,0.571428571428571
"iodine",3,0.5
"K root concentration",2,NA
"K shoot concentration",2,0
"kernel depth",1,0.666445805515398
"kernel rows per ears",17,0
"kernel weight",6,0.359921480736167
"kernels per row",17,0
"kernels per spike",1,1
"kernels per spikelet",2,0.556728419623949
"keyhole limpet hemocyanin",1,1
"latency period - disease",2,0
"leaf area",1,0
"leaf discoloration red-green",2,0.221969072597111
"leaf length",19,0.0160280851380888
"leaf length width ratio",1,1
"leaf water potential",8,0.168978004681385
"leaf weight",4,0.146873076175638
"leaf width",20,0.112548672008477
"leaves number",1,0
"leaves per plant",4,0
"length ",8,0.015625
"length of panicle",2,1
"lesion-diameter",1,0
"lesioned area",2,0
"lesions per cm",3,0.197766586761505
"lesions per foliole",1,NA
"lesions per leaf",2,0.33108625618168
"lifespan",12,0.206665026481047
"lignoceric acid",3,0.830145040134054
"linoleic acid",3,0.394228954896757
"lint percent",2,0
"lint yield pp",2,0.371976235906428
"long chain fatty acids",3,0.567197221822077
"longevity, reared on bean",2,0.467415522426255
"longevity, reared on chickpea",2,0.811355792823248
"lower corolla lobe length",1,0
"lower corolla lobe width",1,0
"main stem length",1,NA
"main stem length (cm)",1,0.706092621849833
"maternal fitness",1,1
"mean stamen length",1,0
"mesocotyl length",3,0
"micronaire value",6,0.5
"mid femur length",4,0.31755175044082
"mineral matter",3,0.284720531895529
"mortality rate",4,0.666666666666667
"mounting",1,0
"nicotine %",4,0.156922388953305
"nitrogen fixation component",1,1
"nornicotine %",4,0.372499563060319
"number of adventitious roots",1,1
"number of branches",12,0.682418060542606
"number of capsules",4,0
"number of catkins",1,0.585858883871005
"number of chaetigerous segments at sex change",1,0
"number of clusters per plant",1,0
"number of days from seeding to pollen shedding",1,0.497741602449263
"number of days from seeding to silking",1,NA
"number of days taken to flower",6,0.263057231603003
"number of ears per plant",17,0.0340715563306148
"number of eggs hatched",1,1
"number of eggs per unit body weight",2,0.20036592704776
"number of females",1,0.709235599431004
"number of flower nodes",1,NA
"number of flowering stalks",1,NA
"number of flowering stems",1,0
"number of flowers",2,0
"number of fruit",2,0
"number of fruit per plant ",6,0.25886397982574
"number of fruits",6,0.352923935795879
"number of fruits per plant",6,0.69734123806156
"number of fry to 10 months",1,NA
"number of grains per spike",3,0.658238811787662
"number of kernels",2,0
"number of kernels per row",3,0.14339727307801
"number of lateral roots",1,0
"number of leasions",16,0.119150487872739
"number of leaves",21,0.137507589142113
"number of locules",5,0.271987107347157
"number of males",1,0.541163543650192
"number of mesocotyl roots",1,0.573180030639345
"number of mite gals",1,0.583363669693568
"number of nodes",2,0.312356547739768
"number of nodes above ear",1,NA
"number of nodes below ear",1,0.595476360343771
"number of nodes per main stem",1,NA
"number of offspring",27,0.607237529310072
"number of ovules",1,0.309913744080921
"number of parthenocarpic fruits per plant of cumulative harvest",3,0
"number of parthenocarpic fruits per plant of first harvest",2,0
"number of peduncles per plant",3,0.5
"number of pods",2,0.468632358428479
"number of pods per plant",16,0.439043968443626
"number of primary branches",2,0
"number of primary laterals",2,0
"number of racemes per plant",4,0.319790099626781
"number of ramets produced before the flowering season",1,NA
"number of red spots on the corolla",1,0.0750810305166615
"number of rows per ear",3,0.666666666666667
"number of secondary branches",1,0
"number of secondary branches per plant",1,NA
"number of secondary roots",1,0
"number of seeds",2,0.394211644415051
"number of seeds per fruit",4,0
"number of seeds per plant",1,0
"number of seeds per pod",4,0.5
"number of siliquae per plant",1,NA
"number of spike bearing culms",2,0.147809443648837
"number of spikes per plant",2,0.300948864097362
"number of tillers",3,0.666666666666667
"number of tillers per plant",29,0.0179690497506075
"nursery survival at 6 months",1,NA
"nuzzling",1,0.526315789473684
"oil concentration",2,0
"oil content in seeds",4,0.43513216068381
"oil ratio",3,0.448538017767762
"oleic acid",3,0.35590931112084
"orbit diameter",2,1
"ovariole number",3,0.672856461112406
"ovary length",1,0
"P root concentration",2,0
"P shoot concentration",2,0.655999601851391
"palmictic acid",3,0
"panicle length",1,0
"panicles per plant",1,0.790262866344493
"parotid gland length",2,1
"paternal fitness",1,NA
"peak fecundity",1,NA
"peanut bud necrosis incidence %",3,0
"pedicel length",1,NA
"peduncle length",1,0.440501405597489
"pelvic spine length",1,0
"percent grains per panicle",1,0.450432940088325
"percent lesions",1,0.375389127318027
"percent of offspring deformed",24,0.504701265631056
"percent survival",2,0.809029233884428
"pericarp firmness",1,0
"pericarp thickness",9,0.112454621955717
"petiole length",1,0.379488683309538
"photoperiod response to flowering date at Ft. Pierce",3,0.228736202369937
"photoperiod response to flowering date at Gainesville",3,0.415286075482567
"pistil length",1,0
"plant height",120,0.399979863512939
"plant size",1,0
"plant spread",5,0.112794467502648
"plate number",1,0.106408442052012
"pod length",10,0.185774163811245
"pod weight",6,0.298244673409059
"pod width",2,0.5
"pod yield",4,0.5
"pod yield per plant",4,0.589656158888477
"polyphenol oxidase activity",4,0.930529050440474
"precent defoliation",2,0.424023399360815
"primary branch number",2,0
"pronotum width",3,0.333333333333333
"proportion eggs on cowpea",2,0.296227907507241
"proportion of males",1,NA
"proportion of survivors reproductive",1,1
"proportion that flowered",1,NA
"proportion that set fruit",1,NA
"proportion viable pollen",1,1
"ratio of cutting weight",1,1
"reducing sugars",4,0.686348765593905
"residual variance in biomass tolerance",1,NA
"root dry weight (gm)",1,1
"root fractal",1,NA
"root fresh weight (g)",1,1
"root length",2,0
"root weight",2,1
"running speed",2,0
"seed color",1,0.347335018300494
"seed height",1,0.244514106583073
"seed length",1,0
"seed number",2,0.716446992986968
"seed number ",1,NA
"seed oil",6,0.49010914116617
"seed oil content",10,0.209814596046444
"seed per pod",2,0.444444444444446
"seed pod ratio",2,0.5
"seed set",1,0.498595326157122
"seed size",1,0.310809083663385
"seed weight",40,0.414661015216114
"seed width",1,0.359700574810397
"seed yield",2,0.406854615989217
"seed yield per plant",1,1
"seed yield pp",2,0.713147523793767
"seedling height",5,0.627161080607997
"seeds per fruit",6,0.339645962177829
"seeds per pod",4,0.333333333333333
"segment 7 length",4,0.220678437048299
"segment 8 length",4,0.525444536185274
"sexual activity",1,0
"shelling percent",2,0.174689619631406
"shoot dry weight (mg)",1,1
"shoot fresh weight (mg)",1,1
"shoot length",2,0.299999224177301
"shoot weight",2,0
"skin reflectance",1,0
"snout-vent length",2,1
"sperm length",1,0.664532874581034
"sperm receptacle length",1,0.820435143501177
"spike length (cm)",5,0.264114009914892
"spikelets per spike",1,0.474092481612517
"spine width",4,0.221719265883765
"stearic acid",3,0
"stem fractal",1,0.798569882244891
"stem weight",4,0.0436120678468358
"straw yield per plant",2,0.234280998614726
"style length",1,0
"sugar %",4,0.377596250317536
"survival",1,0.960045955116134
"survival to eating high salinity",1,0
"survival to eating low salinity",1,NA
"tassel length (cm)",17,0.0640824036595724
"test weight (g)",1,1
"thorax length",7,0.562600331988914
"thorax width",2,0.677933617910968
"tibia length",2,NA
"time to find food",1,NA
"time to first feeding",2,0
"time to flowering (anthesis)",1,0
"time to germination ",1,1
"total alkaloids %",4,0.154830009907618
"total length",4,0.486458498904779
"total number of aphids",1,NA
"total phenol content",4,0.927088348026772
"total soluble solids",3,0.334303532978053
"total soluble sugars",4,0.815616025728477
"typanum diameter",2,1
"uniformity ratio",6,0.4
"up ear leaves number",1,0
"viability",3,0.666666666666667
"viability with high food",5,0.636265838486127
"viability with high food/propionic acid",5,0.75
"viability with low food",5,0.807320822899674
"width",9,0
"wing area",10,0.151297291532482
"wing index score",2,0
"wing length",6,0.236007655310037
"wing size",9,0
"yield",15,0.248946210244257
"yield per plant",6,0.816390587689399
"yield per plant (kg)",6,0.863734444450646
"yield per spike (g)",5,0.247727272727273
"Zn root concentration",2,NA
"Zn shoot concentration",2,NA
