"additive","dominance","epistatic","cols"
0,0.085764803230407,0.914235196769593,"green"
0,0.501560782762338,0.498439217237662,"red"
0,0.390301302334277,0.609698697665723,"red"
0,0.557867640204282,0.442132359795718,"red"
0,0,1,"red"
0,0,1,"red"
0,0,1,"red"
0,0,1,"red"
0,0.381766103712297,0.618233896287703,"green"
0,0,1,"green"
0,0.595658157825163,0.404341842174836,"green"
0,0,1,"red"
0,0,1,"red"
0,0.452904085826151,0.547095914173849,"red"
0,0.458836456162847,0.541163543837153,"red"
0,0,1,"green"
0,0,1,"green"
0,0,1,"green"
0,0,1,"green"
0,0,1,"green"
0,1,0,"red"
0,0,1,"red"
0,0,1,"red"
0,0,1,"red"
0,0,1,"green"
0,0,1,"green"
0,0,1,"green"
0,0,1,"red"
0,0.580794946811054,0.419205053188946,"red"
0,1,0,"red"
0,0,1,"red"
0,0,1,"red"
0,0,1,"red"
0,0,1,"green"
0,0,1,"green"
0,0.510541165463147,0.489458834536853,"green"
0,0,1,"green"
0,0,1,"green"
0,0.333331147622634,0.666668852377366,"green"
0,0,1,"green"
0,1,0,"green"
0,0,1,"green"
0,0,1,"green"
0,0,1,"green"
0,0,1,"green"
0,0,1,"green"
0,1,0,"green"
0,1,0,"green"
0,1,0,"green"
0.0136823055877309,0.421339745105131,0.564977949307138,"green"
0.0144110781716159,0.474854662606061,0.510734259222323,"green"
0.0305517643513527,0.459757855281992,0.509690380366655,"red"
0.0324138145966064,0.420919325132331,0.546666860271062,"red"
0.0377885414828118,0.252975859083951,0.709235599433237,"red"
0.0399540448763672,0,0.960045955123633,"green"
0.04627364815728,0.1084643352971,0.84526201654562,"red"
0.0557561707255623,0,0.944243829274438,"red"
0.0559982500154772,0.551316764411768,0.392684985572755,"red"
0.1403058665411,0.8596941334589,0,"red"
0.146531232412953,0,0.853468767587047,"red"
0.152555973425881,0.433069121369395,0.414374905204724,"red"
0.163182142730184,0.724224283585749,0.112593573684067,"red"
0.179564856547764,0,0.820435143452235,"red"
0.184208073091822,0.509115358518415,0.306676568389763,"red"
0.19042868251942,0,0.80957131748058,"green"
0.199624228723462,0,0.800375771276538,"green"
0.204456763099817,0.212179567234991,0.583363669665191,"green"
0.239821536380932,0.760178463619067,0,"green"
0.250197238161834,0.402697960818835,0.34710480101933,"green"
0.263904923461964,0,0.736095076538036,"green"
0.263975186550577,0.146388479303461,0.589636334145962,"green"
0.270001509065872,0.201271636279017,0.528726854655111,"red"
0.277518360964733,0.722481639035267,0,"red"
0.280674633467424,0.719325366532576,0,"red"
0.310031044677951,0,0.689968955322049,"red"
0.332497070067047,0,0.667502929932953,"red"
0.335467121921875,0,0.664532878078126,"green"
0.347826086956522,0,0.652173913043478,"green"
0.354738649643548,0.645261350356452,0,"red"
0.357891048663344,0.136303503491072,0.505805447845584,"red"
0.361709856061237,0,0.638290143938763,"green"
0.365295524140505,0,0.634704475859495,"red"
0.365620080783019,0,0.634379919216981,"red"
0.399852858226956,0.600147141773044,0,"green"
0.414141116119234,0,0.585858883880766,"green"
0.420100215527816,0,0.579899784472184,"green"
0.423334483317766,0.576665516682234,0,"green"
0.436027662492565,0,0.563972337507435,"green"
0.443358986654253,0,0.556641013345747,"green"
0.452680007059697,0,0.547319992940303,"green"
0.457277682463442,0,0.542722317536558,"red"
0.467946524333123,0.532053475666877,0,"red"
0.474397589433709,0,0.525602410566291,"red"
0.485866740656784,0.514133259343216,0,"red"
0.502258397605325,0,0.497741602394675,"green"
0.505395419000875,0.494604580999125,0,"green"
0.508485220669211,0.491514779330789,0,"green"
0.50945085534908,0,0.49054914465092,"green"
0.514466281768051,0,0.485533718231949,"green"
0.567251461988304,0,0.432748538011696,"green"
0.590747702897366,0.409252297102635,0,"green"
0.602502874155437,0.397497125844562,0,"green"
0.605679931664303,0,0.394320068335697,"green"
0.656216018845009,0,0.343783981154991,"green"
0.656381543158602,0,0.343618456841398,"red"
0.668128859480026,0,0.331871140519974,"red"
0.690086256307634,0,0.309913743692366,"green"
0.700226348209124,0,0.299773651790876,"green"
0.743144197136447,0.150447360858058,0.106408442005495,"red"
0.750000015000001,0,0.249999984999999,"green"
0.809012328502523,0,0.190987671497477,"green"
0.875,0,0.125,"green"
0.894167926611096,0,0.105832073388904,"red"
0.898046502474083,0,0.101953497525917,"green"
1,0,0,"green"
1,0,0,"green"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"green"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"red"
1,0,0,"green"
