"","epi","class","kingdom","divergence","combo"
"186",0,"M","plant","within","Zea mays-leaves number"
"188",0,"M","plant","within","Zea mays-plant height"
"189",0.5,"M","plant","within","Zea mays-final plant height"
"191",0.666666666666667,"LH","plant","within","Zea mays-number of rows per ear"
"192",0,"LH","plant","within","Zea mays-days to silking"
"193",0,"M","plant","within","Zea mays-up ear leaves number"
"194",0,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-corolla length"
"195",0,"M","plant","within","Desmodium sandwicense-cotyledon area (mm2)"
"196",0.75,"M","plant","within","cotton-bundle strength (g/tex)"
"202",0.548418083726272,"M","plant","within","cotton-ginning percentage"
"208",0.5,"M","plant","within","cotton-micronaire value"
"214",0.310384797505216,"LH","plant","within","Gossypium hirsutum-seed weight"
"220",0.240292537569482,"M","plant","within","Gossypium hirsutum-seed oil content"
"226",0.49010914116617,"M","plant","within","Gossypium hirsutum-seed oil"
"233",0.644566757455552,"M","plant","within","cotton-2.5% span length"
"238",0.4,"M","plant","within","cotton-uniformity ratio"
"244",0.834195006312755,"LH","plant","between","Gossypium babadense, Gossypium hisutum-boll number"
"245",0,"LH","plant","between","Gossypium-boll number"
"246",0.369369105464921,"LH","plant","between","Gossypium-boll weight"
"248",0.370493544681572,"LH","plant","between","Gossypium-days to flower"
"250",0,"M","plant","between","Gossypium-lint percent"
"252",0.371976235906428,"M","plant","between","Gossypium-lint yield pp"
"254",0.713147523793767,"LH","plant","between","Gossypium-seed yield pp"
"256",0.310809083663385,"LH","plant","within","Vigna unguiculata-seed size"
"264",0,"M","plant","within","Cucumis sativus-ascorbic acid content"
"267",0.284720531895529,"M","plant","within","Cucumis sativus-mineral matter"
"270",0.334303532978053,"M","plant","within","Cucumis sativus-total soluble solids"
"273",0,"LH","plant","within","Cucumis sativus-number of parthenocarpic fruits per plant of first harvest"
"275",0,"LH","plant","within","Cucumis sativus-number of parthenocarpic fruits per plant of cumulative harvest"
"280",0.644148037918166,"LH","animal","within","Drosophila melanogaster-development time with high food/propionic acid"
"285",0.370798624054062,"LH","animal","within","Drosophila melanogaster-development time with high food"
"290",0.297286671048379,"LH","animal","within","Drosophila melanogaster-development time with low food"
"294",0,"LH","plant","within","Zea mays-difference in days between silking and pollen shedding"
"295",0.664532874581034,"LH","animal","within","Drosophila mojavensis-sperm length"
"296",0.820435143501177,"LH","animal","within","Drosophila mojavensis-sperm receptacle length"
"297",0.151297291532482,"M","animal","within","Drosophila melanogaster-wing area"
"303",0.236007655310037,"M","animal","within","Drosophila melanogaster-wing length"
"313",0,"M","animal","between","Drosophila birchii, Drosophila serrata-wing size"
"315",0.0806566175486106,"LH","animal","between","Drosophila birchii, Drosophila serrata-development time"
"321",0.666666666666667,"LH","animal","between","Drosophila birchii, Drosophila serrata-viability"
"332",0.0483057515396216,"LH","animal","within","Drosophila melanogaster-emergence"
"338",0,"M","animal","within","Drosophila melanogaster-wing index score"
"340",1,"M","plant","between","Salix eriocephala, Salix sericea-dry above ground biomass"
"342",0.0307188910667022,"M","plant","between","Zea mays, Zea diploperennis Iltis-ear diameter"
"360",0.0412109796849104,"M","plant","between","Zea mays, Zea diploperennis Iltis-ear length "
"377",0.55664101335225,"LH","animal","between","Drosophila madeirensis, Drosophila subobscura-early fecundity"
"378",0.0340715563306148,"LH","plant","between","Zea mays, Zea diploperennis Iltis-number of ears per plant"
"395",0.5,"LH","animal","within","Wyeomyia smithii-fitness at high density of food"
"398",1,"LH","animal","within","Wyeomyia smithii-fitness at low density of food"
"399",0.20036592704776,"LH","animal","within","rainbow trout-number of eggs per unit body weight"
"401",0.122690330983049,"LH","animal","within","Callosobruchus maculatus-egg dispersal"
"405",0.5,"LH","animal","within","rainbow trout-egg number"
"407",0.275556310910087,"M","plant","within","Solanum melongena-anthocyanin content"
"411",0.829837630911267,"M","plant","within","Solanum melongena-ascorbic acid content"
"415",0.629981601963381,"M","plant","within","Solanum melongena-dry matter content"
"420",1,"M","plant","within","Solanum melongena-glycoalkaloid content"
"424",0.43513216068381,"M","plant","within","Solanum melongena-oil content in seeds"
"427",0.927088348026772,"M","plant","within","Solanum melongena-total phenol content"
"432",0.930529050440474,"M","plant","within","Solanum melongena-polyphenol oxidase activity"
"435",0.686348765593905,"M","plant","within","Solanum melongena-reducing sugars"
"439",1,"LH","plant","within","Solanum melongena-seed weight"
"443",0.815616025728477,"M","plant","within","Solanum melongena-total soluble sugars"
"447",1,"LH","animal","between","Etheostoma caeruleum, Etheostoma spectabile-number of eggs hatched"
"448",0.485533717052318,"LH","animal","within","Drosophila tripunctata-% of eggs laid on mushrooms relative to tomatoes"
"449",0.554819774986749,"LH","animal","within","rainbow trout-egg size"
"451",0.592689279825774,"LH","animal","within","rainbow trout-egg volume "
"453",0.815921992611635,"M","plant","between","Eucalyptus globulus, Eucalyptus nitens-diameter at breast height"
"455",0.809029233884428,"LH","plant","between","Eucalyptus globulus, Eucalyptus nitens-percent survival"
"457",0.935382061463581,"LH","plant","between","Eucalyptus-20 year growth of survivors"
"458",1,"LH","plant","between","Eucalyptus-proportion of survivors reproductive"
