"","epi","class","kingdom","divergence","combo"
"1232",0,"LH","animal","within","Drosophila melanogaster-BxSO female starvation resist"
"1233",0,"LH","animal","within","Drosophila melanogaster-BxSO fem develop time"
"1234",0,"M","animal","within","Drosophila melanogaster-BxSO female weight"
"1235",0,"LH","animal","within","Drosophila melanogaster-BxSO male starvation resist"
"1236",0,"LH","animal","within","Drosophila melanogaster-BxSO male develop time"
"1237",0,"M","animal","within","Drosophila melanogaster-BxSO male weight"
"1238",0.410754932797771,"M","animal","within","Jadera haematoloma-beak length"
"1240",0.933481857832389,"LH","animal","within","Jadera haematoloma-development time"
"1242",0.677933617910968,"M","animal","within","Jadera haematoloma-thorax width"
"1244",0,"LH","plant","within","Sorghum bicolor-eggs per plant"
"1248",0.312523420190496,"LH","plant","within","Sorghum bicolor-days to 50% flowering"
"1252",0.723481071959534,"LH","plant","within","Sorghum bicolor-grain yield"
"1254",0.212716978654468,"LH","plant","within","Sorghum bicolor-harvest index"
"1257",0,"M","plant","within","Sorghum bicolor-leaves per plant"
"1261",0,"M","plant","within","Sorghum bicolor-plant height"
"1265",0.417022474347284,"LH","plant","within","Glycine max-infection degree"
"1266",0,"M","plant","within","Glycine max-lesion-diameter"
"1267",0.39553317352301,"M","plant","within","Glycine max-lesions per cm"
"1269",0.375389127318027,"M","plant","within","Glycine max-percent lesions"
"1274",0.706092621849833,"M","plant","within","Cucumis sativus-main stem length (cm)"
"1275",0.147809443648837,"M","plant","within","Triticum aestivum-number of spike bearing culms"
"1277",0.264114009914892,"M","plant","within","Secale cereale-spike length (cm)"
"1282",0.0750810305166615,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-number of red spots on the corolla"
"1284",0,"LH","plant","between","Mimulus cuprilphilus, Mimulus guttatus-mean stamen length"
"1285",0.0436120678468358,"M","plant","within","Datura stramonium-stem weight"
"1290",0.394822128730836,"M","animal","within","stickleback-body depth"
"1292",0.316481738748957,"M","animal","within","stickleback-body shape"
"1296",0.313861184996311,"M","animal","within","Aquarius remigis-abdominal length"
"1300",0.195179850279735,"M","animal","within","Aquarius remigis-abdominal width"
"1304",0.323457648272193,"M","animal","within","Aquarius remigis-front femur length"
"1306",0.762244670105556,"M","animal","within","Aquarius remigis-front gemur length"
"1308",0.262841781430565,"M","animal","within","Aquarius remigis-front femue width"
"1310",0.428563254690087,"M","animal","within","Aquarius remigis-front femur width"
"1312",0.477903547998052,"M","animal","within","Aquarius remigis-genital length"
"1316",0.262431356902424,"M","animal","within","Aquarius remigis-hind femur length"
"1320",0.31755175044082,"M","animal","within","Aquarius remigis-mid femur length"
"1324",0.220678437048299,"M","animal","within","Aquarius remigis-segment 7 length"
"1328",0.525444536185274,"M","animal","within","Aquarius remigis-segment 8 length"
"1332",0.221719265883765,"M","animal","within","Aquarius remigis-spine width"
"1336",0.499154127639683,"M","animal","within","Aquarius remigis-thorax length"
"1340",0.486458498904779,"M","animal","within","Aquarius remigis-total length"
"1344",0,"LH","plant","between","Mimulus cuprilphilus, Mimulus guttatus-style length"
"1345",0.960045955116134,"LH","animal","between","Drosophila madeirensis, Drosophila subobscura-survival"
"1346",0.0640824036595724,"LH","plant","between","Zea mays, Zea diploperennis Iltis-tassel length (cm)"
"1363",0.647195271121222,"M","animal","within","Drosophila hibisci-thorax length"
"1366",0.480898042693209,"LH","plant","within","bread wheat-grain weight"
"1367",0,"LH","plant","within","Brassica juncea-seed weight"
"1368",0.0179690497506075,"M","plant","between","Zea mays, Zea diploperennis Iltis-number of tillers per plant"
"1397",0.154830009907618,"M","plant","within","Nicotiana tabacum-total alkaloids %"
"1401",0.190993454481262,"LH","plant","within","Nicotiana tabacum-flower days"
"1405",0.340413207369592,"M","plant","within","Nicotiana tabacum-grade index"
"1409",0.124174571165532,"M","plant","within","Nicotiana tabacum-plant height"
"1413",0.153846153846153,"M","plant","within","Nicotiana tabacum-number of leaves"
"1417",0.156922388953305,"M","plant","within","Nicotiana tabacum-nicotine %"
"1421",0.372499563060319,"M","plant","within","Nicotiana tabacum-nornicotine %"
"1425",0.377596250317536,"M","plant","within","Nicotiana tabacum-sugar %"
"1429",0.243140912512189,"LH","plant","within","Nicotiana tabacum-yield"
"1433",0,"LH","plant","within","Solanum lycopersicum-fruit diameter"
"1434",0,"LH","plant","within","Solanum lycopersicum-fruit length"
"1435",0,"LH","plant","within","Solanum lycopersicum-fruit number"
"1436",0,"LH","plant","within","Solanum lycopersicum-fruit size"
"1437",0.741253966608781,"LH","plant","within","Solanum lycopersicum-fruit weight"
"1439",0.504701265631056,"LH","animal","within","Tribolium castaneum-percent of offspring deformed"
"1462",0.0895374265869203,"LH","animal","within","Oncorhynchus mykiss-activity"
"1468",0.263412849335198,"LH","animal","within","Oncorhynchus mykiss-condition factor"
"1470",0,"LH","animal","within","Oncorhynchus mykiss-growth rate length"
"1472",0.297040690706361,"LH","animal","within","Oncorhynchus mykiss-growth rate mass"
"1474",0,"LH","animal","within","Oncorhynchus mykiss-time to first feeding"
"1479",1,"M","animal","between","Toad-foot length"
"1480",0.709602526615569,"M","animal","between","Toad-head length"
"1481",0,"M","animal","between","Toad-head width"
"1486",1,"M","animal","between","Toad-typanum diameter"
"1488",1,"M","animal","between","Toad-finger 1 length"
"1489",1,"M","animal","between","Toad-finger 3 length"
"1493",1,"M","animal","between","Toad-orbit diameter"
"1494",1,"M","animal","between","Toad-parotid gland length"
"1495",1,"M","animal","between","Toad-snout-vent length"
"1499",0.75,"LH","animal","within","Drosophila rnelanogaster-viability with high food/propionic acid"
"1503",0.636265838486127,"LH","animal","within","Drosophila rnelanogaster-viability with high food"
"1508",0.807320822899674,"LH","animal","within","Drosophila rnelanogaster-viability with low food"
"1513",0,"M","plant","within","Lycopersicon esculentum-gross viscosity"
"1514",0,"M","plant","between","Mimulus cuprilphilus, Mimulus guttatus-dry weight"
"1515",1,"LH","animal","within","mosquito Wyeomyia smithii-fitness at high density of food"
"1517",0,"M","plant","within","Triticum aestivum-chlorophyll concentration"
"1527",0.333333333333333,"M","plant","within","Triticum aestivum-flag-leaf duration"
"1532",0,"M","plant","within","Triticum aestivum-flag-leaf angle"
"1535",0.218595737379728,"M","plant","within","Triticum aestivum-flag-leaf area"
"1540",0.742217560608881,"LH","plant","within","Triticum aestivum-number of grains per spike"
"1542",0,"LH","plant","within","Triticum aestivum-grain weight"
"1544",0.194301278310734,"LH","plant","within","Triticum aestivum-grain yield"
"1546",0,"LH","plant","within","Triticum aestivum-heading date"
"1547",0,"LH","plant","within","Triticum aestivum-days to heading"
"1549",1,"LH","plant","within","Triticum aestivum-kernels per spike"
"1550",0.556728419623949,"LH","plant","within","Triticum aestivum-kernels per spikelet"
"1552",0.184515559806647,"LH","plant","within","Triticum aestivum-kernel weight"
"1553",0.37143205237048,"M","plant","within","Triticum aestivum-flag leaf area"
"1556",0.119150487872739,"M","plant","within","Triticum aestivum-number of leasions"
"1571",0.63318236916502,"M","plant","within","Triticum aestivum-plant height"
"1572",0.474092481612517,"M","plant","within","Triticum aestivum-spikelets per spike"
"1573",0.300948864097362,"M","plant","within","Triticum aestivum-number of spikes per plant"
"1575",0,"M","plant","within","Triticum aestivum-number of tillers"
"1576",0,"M","plant","between","Salix eriocephala, Salix sericea-biomass tolerance"
"1577",1,"M","plant","between","Salix eriocephala, Salix sericea-ratio of cutting weight"
"1578",1,"M","plant","between","Salix eriocephala, Salix sericea-% damage"
"1594",0.401953751925015,"LH","plant","within","Triticum aestivum-grain yield (g/plant) for late sowing"
"1595",0,"LH","plant","within","Triticum aestivum-grain yield (g/plant) for normal sowing"
"1596",0.863734444450646,"LH","plant","within","Solanum melongena-yield per plant (kg)"
"1602",0.247727272727273,"LH","plant","within","Secale cereale-yield per spike (g)"
