cross,mean,SE,sex,environ,sire ,dam,,,,
P1,17.2,2.66,U,0,1,1,,,,
F1,0,1000,U,0,1,6,,,,
rF1,0,1000,U,0,6,1,,,,
BC1,16.7,2.85,U,0,2,1,,,,
BC2,7.2,1.21,U,0,2,6,,,,
P2,3.7,1.34,U,0,6,6,,,,
P1,5.2,1.47,U,1,7,7,,,,
F1,0,1000,U,1,7,12,,,,
rF1,0,1000,U,1,12,7,,,,
BC1,4.2,1.31,U,1,8,7,,,,
BC2,10.1,1.76,U,1,8,12,,,,
P2,5.2,1.09,U,1,12,12,,,,
