cross,mean,SE,sex,environ,sire ,dam
P1,14.4,0.611,,1,1,1
P2,41,0.453,,1,2,2
F1,28.4,0.581,,1,1,2
F2,30.3,1.483,,1,3,1
B1,24.2,1.334,,1,3,2
B2,34.7,1.122,,1,3,1
