cross,mean,SE,sire,dam
P1,65.73,3.05,1,1
B1,64.19,2.47,1,3
F1,64.95,3.33,1,6
F2,65.19,3.12,3,3
B2,63.99,3.04,6,3
P2,67.68,2.81,6,6
