phenotype,trait_type,mean_fitness_value,mean_across_category
flag-leaf duration,M,4.714,
flag-leaf duration,M,4.714,
flag-leaf duration,M,4.714,
flight time,M,5.962,
flower height,M,6.032,
flower length,M,6.032,
flower width,M,6.032,
fluctuating asymmetry,M,3.8,
foot length,M,3.828,
foot length,M,3.828,
fresh weight,M,4.92,
fresh weight,M,4.92,
front femur length,M,4.259,
front femur length,M,4.259,
front femur length,M,4.259,
front femur length,M,4.259,
front femur length,M,4.259,
front femur width,M,4.259,
front femur width,M,4.259,
front femur width,M,4.259,
fruit shape,M,5.036,
fruit shape,M,5.036,
fruit shape,M,5.036,
genital length,M,5.37,
genital length,M,5.37,
genital length,M,5.37,
genital length,M,5.37,
gill raker length,M,4.08,
gill raker number,M,4.08,
gill raker number,M,4.08,
gill raker number,M,4.08,
ginning percentage,M,4.789,
ginning percentage,M,4.789,
ginning percentage,M,4.789,
ginning percentage,M,4.789,
ginning percentage,M,4.789,
ginning percentage,M,4.789,
glycoalkaloid content,M,4.696,
glycoalkaloid content,M,4.696,
glycoalkaloid content,M,4.696,
glycoalkaloid content,M,4.696,
grade index,M,4.667,
grade index,M,4.667,
grade index,M,4.667,
grade index,M,4.667,
grain iron content,M,5.259,
grain zinc content,M,5.259,
gross viscosity,M,4.19,
head length,M,4.963,
head length,M,4.963,
head width,M,4.963,
head width,M,4.963,
herbivore density,M,5.577,
herbivore density,M,5.577,
herbivore density,M,5.577,
herbivore density,M,5.577,
herbivore density,M,5.577,
herbivore density,M,5.577,
herbivore density,M,5.577,
herbivore density,M,5.577,
herbivore density,M,5.577,
herbivore density,M,5.577,
herbivore density,M,5.577,
herbivore density,M,5.577,
herbivore density,M,5.577,
herbivore density,M,5.577,
hind femur length,M,4.259,
hind femur length,M,4.259,
hind femur length,M,4.259,
hind femur length,M,4.259,
internode length,M,4.621,
internode length,M,4.621,
internode length,M,4.621,
internode length,M,4.621,
internode length,M,4.621,
internode length,M,4.621,
internode length,M,4.621,
internode length,M,4.621,
internode length,M,4.621,
internode number,M,4.621,
internode number,M,4.621,
internode number,M,4.621,
internode number,M,4.621,
iodine,M,4.174,
iodine,M,4.174,
iodine,M,4.174,
K root concentration,M,4.833,
K root concentration,M,4.833,
K shoot concentration,M,4.542,
K shoot concentration,M,4.542,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernel rows per ears,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
kernels per row,M,4.08,
leaf area,M,6.103,
leaf discoloration red-green,M,4.833,
leaf discoloration red-green,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length,M,4.833,
leaf length width ratio,M,4.833,
leaf water potential,M,4.833,
leaf water potential,M,4.833,
leaf water potential,M,4.833,
leaf water potential,M,4.833,
leaf water potential,M,4.833,
leaf water potential,M,4.833,
leaf water potential,M,4.833,
leaf water potential,M,4.833,
leaf weight,M,4.833,
leaf weight,M,4.833,
leaf weight,M,4.833,
leaf weight,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaf width,M,4.833,
leaves number,M,5.852,
leaves per plant,M,5.852,
leaves per plant,M,5.852,
leaves per plant,M,5.852,
leaves per plant,M,5.852,
length of panicle,M,4.19,
length of panicle,M,4.19,
lesion-diameter,M,5,
lesioned area,M,5,
lesioned area,M,5,
lesions per cm,M,4.556,
lesions per cm,M,4.556,
lesions per cm,M,4.556,
lesions per foliole,M,4.556,
lesions per leaf,M,4.556,
lesions per leaf,M,4.556,
lignoceric acid,M,3.682,
lignoceric acid,M,3.682,
lignoceric acid,M,3.682,
linoleic acid,M,4.182,
linoleic acid,M,4.182,
linoleic acid,M,4.182,
lint percent,M,7.815,
lint percent,M,7.815,
lint yield pp,M,7.815,
lint yield pp,M,7.815,
long chain fatty acids,M,4.478,
long chain fatty acids,M,4.478,
long chain fatty acids,M,4.478,
lower corolla lobe length,M,6.032,
lower corolla lobe width,M,6.032,
main stem length,M,4.621,
main stem length (cm),M,4.621,
mesocotyl length,M,4.621,
mesocotyl length,M,4.621,
mesocotyl length,M,4.621,
micronaire value,M,4.526,
micronaire value,M,4.526,
micronaire value,M,4.526,
micronaire value,M,4.526,
micronaire value,M,4.526,
micronaire value,M,4.526,
mid femur length,M,4.259,
mid femur length,M,4.259,
mid femur length,M,4.259,
mid femur length,M,4.259,
mineral matter,M,3.913,
mineral matter,M,3.913,
mineral matter,M,3.913,
nicotine %,M,4.24,
nicotine %,M,4.24,
nicotine %,M,4.24,
nicotine %,M,4.24,
nitrogen fixation component,M,6.52,
nornicotine %,M,4.458,
nornicotine %,M,4.458,
nornicotine %,M,4.458,
nornicotine %,M,4.458,
number of adventitious roots,M,5.862,
number of branches,M,3.923,
number of branches,M,3.923,
number of branches,M,3.923,
number of branches,M,3.923,
number of branches,M,3.923,
number of branches,M,3.923,
number of branches,M,3.923,
number of branches,M,3.923,
number of branches,M,3.923,
number of branches,M,3.923,
number of branches,M,3.923,
number of branches,M,3.923,
number of chaetigerous segments at sex change,M,4.111,
number of clusters per plant,M,6.857,
number of flower nodes,M,4.621,
number of flowering stalks,M,4.621,
number of lateral roots,M,5.862,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of leaves,M,5.852,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of lesions,M,4.556,
number of mesocotyl roots,M,5.862,
number of mite galls,M,5.4,
number of nodes,M,4.621,
number of nodes,M,4.621,
number of nodes above ear,M,4.621,
number of nodes below ear,M,4.621,
number of nodes per main stem,M,4.621,
number of primary branches,M,3.923,
number of primary branches,M,3.923,
number of primary laterals,M,3.923,
number of primary laterals,M,3.923,
number of red spots on the corolla,M,6.032,
number of secondary branches,M,3.923,
number of secondary branches per plant,M,3.923,
number of secondary roots,M,5.862,
number of spike bearing culms,M,6.857,
number of spike bearing culms,M,6.857,
number of spikes per plant,M,6.857,
number of spikes per plant,M,6.857,
number of tillers,M,4.143,
number of tilles,M,4.143,
number of tillers,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
number of tillers per plant,M,4.143,
oil concentration,M,5.115,
oil concentration,M,5.115,
oil content in seeds,M,5.115,
oil content in seeds,M,5.115,
oil content in seeds,M,5.115,
oil content in seeds,M,5.115,
oil ratio,M,5.115,
oil ratio,M,5.115,
oil ratio,M,5.115,
oleic acid,M,4.619,
oleic acid,M,4.619,
oleic acid,M,4.619,
orbit diameter,M,4.963,
orbit diameter,M,4.963,
P root concentration,M,4.833,
P root concentration,M,4.833,
P shoot concentration,M,4.542,
P shoot concentration,M,4.542,
palmictic acid,M,4.435,
palmictic acid,M,4.435,
palmictic acid,M,4.435,
panicle length,M,4.19,
parotid gland length,M,3.875,
parotid gland length,M,3.875,
pedicel length,M,4.621,
peduncle length,M,4.621,
pelvic spine length,M,3.692,
percent lesions,M,4.556,
pericarp firmness,M,5.036,
petiole length,M,4.833,
photoperiod response to flowering date at Ft. Pierce,M,5.714,
photoperiod response to flowering date at Ft. Pierce,M,5.714,
photoperiod response to flowering date at Ft. Pierce,M,5.714,
photoperiod response to flowering date at Gainesville,M,5.714,
photoperiod response to flowering date at Gainesville,M,5.714,
photoperiod response to flowering date at Gainesville,M,5.714,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant height,M,4.621,
plant size,M,4.621,
plant size,M,4.833,
plant size,M,4.833,
plant size,M,4.833,
plant size,M,4.833,
plant size,M,4.833,
plant size,M,4.625,
pod length,M,5.259,
pod length,M,5.259,
pod length,M,5.259,
polyphenol oxidase activity,M,4.652,
polyphenol oxidase activity,M,4.652,
polyphenol oxidase activity,M,4.652,
polyphenol oxidase activity,M,4.652,
precent defoliation,M,5.24,
precent defoliation,M,5.24,
primary branch number,M,3.923,
primary branch number,M,3.923,
pronotum width,M,3.727,
pronotum width,M,3.727,
pronotum width,M,3.727,
ratio of cutting weight,M,5.31,
reducing sugars,M,4.583,
reducing sugars,M,4.583,
reducing sugars,M,4.583,
reducing sugars,M,4.583,
residual variance in biomass tolerance,M,5.864,
root dry weight (gm),M,5.04,
root fractal,M,5.034,
root fresh weight (g),M,4.92,
root length,M,5.034,
root length,M,5.034,
root weight,M,5.034,
root weight,M,5.034,
seed color,M,5.259,
seed oil,M,5.115,
seed oil,M,5.115,
seed oil,M,5.115,
seed oil,M,5.115,
seed oil,M,5.115,
seed oil,M,5.115,
seed oil content,M,5.115,
seed oil content,M,5.115,
seed oil content,M,5.115,
seed oil content,M,5.115,
seed oil content,M,5.115,
seed oil content,M,5.115,
seed oil content,M,5.115,
seed oil content,M,5.115,
seed oil content,M,5.115,
seed oil content,M,5.115,
seedling height,M,4.621,
seedling height,M,4.621,
seedling height,M,4.621,
seedling height,M,4.621,
seedling height,M,4.621,
segment 7 length,M,6.065,
segment 7 length,M,6.065,
segment 7 length,M,6.065,
segment 7 length,M,6.065,
segment 8 length,M,6.065,
segment 8 length,M,6.065,
segment 8 length,M,6.065,
segment 8 length,M,6.065,
shelling percent,M,5.136,
shelling percent,M,5.136,
shoot dry weight (mg),M,5.04,
shoot fresh weight (mg),M,4.92,
shoot length,M,4.621,
shoot length,M,4.621,
shoot weight,M,4.621,
shoot weight,M,4.621,
skin reflectance,M,4.5,
snout-vent length,M,4.6,
snout-vent length,M,4.6,
spike length (cm),M,4.621,
spike length (cm),M,4.621,
spike length (cm),M,4.621,
spike length (cm),M,4.621,
spike length (cm),M,4.621,
spikelets per spike,M,4.621,
spine width,M,4.231,
spine width,M,4.231,
spine width,M,4.231,
spine width,M,4.231,
stearic acid,M,4.227,
stearic acid,M,4.227,
stearic acid,M,4.227,
stem fractal,M,4.621,
stem weight,M,4.621,
stem weight,M,4.621,
stem weight,M,4.621,
stem weight,M,4.621,
sugar %,M,5.154,
sugar %,M,5.154,
sugar %,M,5.154,
sugar %,M,5.154,
test weight (g),M,5.31,
thorax length,M,4.44,
thorax length,M,4.44,
thorax length,M,4.44,
thorax length,M,4.44,
thorax length,M,4.44,
thorax length,M,4.44,
thorax length,M,4.44,
thorax width,M,4.44,
thorax width,M,4.44,
tibia length,M,1.857,
tibia length,M,1.857,
total alkaloids %,M,4.292,
total alkaloids %,M,4.292,
total alkaloids %,M,4.292,
total alkaloids %,M,4.292,
total length,M,6.065,
total length,M,6.065,
total length,M,6.065,
total length,M,6.065,
total number of aphids,M,5.577,
total phenol content,M,4.458,
total phenol content,M,4.458,
total phenol content,M,4.458,
total phenol content,M,4.458,
total soluble solids,M,4.227,
total soluble solids,M,4.227,
total soluble solids,M,4.227,
total soluble sugars,M,4.957,
total soluble sugars,M,4.957,
total soluble sugars,M,4.957,
total soluble sugars,M,4.957,
typanum diameter,M,4.037,
typanum diameter,M,4.037,
uniformity ratio,M,4.75,
uniformity ratio,M,4.75,
uniformity ratio,M,4.75,
uniformity ratio,M,4.75,
uniformity ratio,M,4.75,
uniformity ratio,M,4.75,
up ear leaves number,M,5.852,
wing area,M,5.148,
wing area,M,5.148,
wing area,M,5.148,
wing area,M,5.148,
wing area,M,5.148,
wing area,M,5.148,
wing area,M,5.148,
wing area,M,5.148,
wing area,M,5.148,
wing area,M,5.148,
wing index score,M,5.148,
wing index score,M,5.148,
wing length,M,5.148,
wing length,M,5.148,
wing length,M,5.148,
wing length,M,5.148,
wing length,M,5.148,
wing length,M,5.148,
wing size,M,5.148,
wing size,M,5.148,
wing size,M,5.148,
wing size,M,5.148,
wing size,M,5.148,
wing size,M,5.148,
wing size,M,5.148,
wing size,M,5.148,
wing size,M,5.148,
Zn root concentration,M,5.034,
Zn root concentration,M,5.034,
Zn root concentration,M,4.621,
Zn root concentration,M,4.621,
