"datasets","sources"
"1-27","Demuth, Jeffery Paul. Evolution of Hybrid Incompatibility in the Beetle Tribolium Castaneum. Indiana University, 2004.                                                                                           "
"28-52","LeRoy Powers. 1941. Inheritance of quantitative characters in crosses involving two species of Lycopersicon. J Agric Res 63. 149-175.                                                                                  "
"53-54","Miller, G. T., Starmer, W. T., & S. Pitnick 2003. Quantitative genetic analysis of among-population variation in sperm and female sperm-storage organ length in Drosophila mojavensis. Genetical research, 81(03), 213-220."
"55-59","Demuth, Jeffery P., Rebecca J. Flanagan, and Lynda F. Delph. Genetic architecture of isolation between two species of Silene with sex chromosomes and Haldane's rule. Evolution 68, no. 2 (2014): 332-342."
"60-81","Fontenot, Brian E. Natural Hybridization And Speciation In Toads Of The Anaxyrus americanus Group. University of Texas at Arlington 2009"
