cross,mean,SE,sex,environ,sire,dam
P1,48.5,0.58,U,1,,
P2,65.6,0.58,U,1,,
F1,51.3,0.58,U,1,,
F2,50.8,0.58,U,1,,
F3,54,0.58,U,1,,
B1,47.9,0.58,U,1,,
B2,50.7,0.58,U,1,,
B11,45.5,0.58,U,1,,
B12,49,0.58,U,1,,
B21,50.6,0.58,U,1,,
B22,50.5,0.58,U,1,,
B1s,49.7,0.58,U,1,,
B2s,48.3,0.58,U,1,,
B1F1,47.7,0.58,U,1,,
B2F2,47.3,0.58,U,1,,
B1bip,49.5,0.58,U,1,,
B2bip,53,0.58,U,1,,
F2P1,49.7,0.58,U,1,,
F2P2,51.2,0.58,U,1,,
F2F1,48.3,0.58,U,1,,
F2bip,52.6,0.58,U,1,,
