cross,mean,SE,sex,environ,sire,dam
P1,121.2,0.64,U,1,,
P2,144.5,0.64,U,1,,
F1,129.5,0.64,U,1,,
F2,119.5,0.64,U,1,,
F3,129.3,0.64,U,1,,
B1,124.5,0.64,U,1,,
B2,126.9,0.64,U,1,,
B11,127.9,0.64,U,1,,
B12,128.9,0.64,U,1,,
B21,124.4,0.64,U,1,,
B22,127.8,0.64,U,1,,
B1s,129.4,0.64,U,1,,
B2s,128.5,0.64,U,1,,
B1F1,127.8,0.64,U,1,,
B2F2,126.9,0.64,U,1,,
B1bip,128.5,0.64,U,1,,
B2bip,125.5,0.64,U,1,,
F2P1,126.3,0.64,U,1,,
F2P2,128.5,0.64,U,1,,
F2F1,125.3,0.64,U,1,,
F2bip,125.3,0.64,U,1,,
