cross,mean,SE,sex,environ,sire,dam
P1,306,9,F,1,,
P2,252,8,F,1,,
F1,269,5.5,F,1,,
F2,275,6.3,F,1,,
BC1,311,6.9,F,1,,
BC2,322,18.1,F,1,,
