cross,mean,SE,sex,environ,sire,dam
P1,1074,32,F,1,,
P2,1034,25,F,1,,
F1,1144,14.8,F,1,,
F2,1080,17.4,F,1,,
BC1,1078,25.4,F,1,,
BC2,1093,21.2,F,1,,
