cross,mean,SE,sex,environ,sire,dam
P1,3336,88,F,1,,
P2,2769,86.9,F,1,,
F1,3041,46.3,F,1,,
F2,3008,57.2,F,1,,
BC1,3262,80.4,F,1,,
BC2,2989,78.4,F,1,,
