cross,mean,SE,sex,environ,sire,dam
P1,150,4.2,F,1,,
P2,172,4.2,F,1,,
F1,191,3,F,1,,
F2,140,2.9,F,1,,
BC1,138,3.6,F,1,,
BC2,123,5.3,F,1,,
