cross,mean,SE,sex,environ,sire,dam
P1,19.8,0.7,U,1,,
P2,19.7,0.6,U,1,,
F1,27.7,0.9,U,1,,
BC1,24.1,1.5,U,1,,
BC2,20.5,0.9,U,1,,
F2,20.5,0.7,U,1,,
F3,18.2,0.4,U,1,,
