"cohort.id","mean","SE"
3,20.85714,41.877551
6,24.57143,80.707483
9,42,39.333333
12,31.71429,53.319728
15,25.71429,35.891156
21,25.42857,34.755102
18,38.42857,21.183673
24,34.71429,31.795918
27,39.14286,25.353741
30,43.42857,45.183673
33,22,10.666667
36,21.57143,36.564626
45,18.57143,28.136054
48,24.85714,13.782313
39,27.28571,64.081633
42,26.57143,29.564626
