"cohort","mean","SE"
1,0.669285217391304,0.162045894700472
2,0.372347619047619,0.147589811856253
4,-0.828688571428571,0.132164049078059
5,-0.827156666666667,0.174489616380014
12,-0.20154,0.17553
24,0.1999,0.263188437689298
28,0.29134,0.280870885342951
29,0.0521566666666667,0.141851998497652
