"cohort.id","mean","SE"
3,32.375,5.82463
6,42.5,4.31774
9,59.83333,14.36991
12,37.5,15.87398
15,32,6.65475
21,35.57143,8.91723
18,47,6.98638
24,28.14286,7.32715
27,30.8,9.45727
30,51.42857,8.53524
33,45.5,6.05628
36,45.25,7.76381
45,34.14286,7.1061
48,39.6,15.73086
39,53,6.62786
42,58.28571,8.52926
