"cohort.id","mean","SE"
3,33.25,6.96612
6,42.5,4.31774
9,42,9.03169
12,31.57143,7.25015
15,40.57143,10.08737
21,33.57143,6.76425
18,44,2.47656
24,50.75,7.29909
27,44,10.65207
30,41.28571,8.6043
33,42.125,8.3718
36,20.66667,2.33333
45,45.85714,7.70414
48,40.33333,10.26861
39,46.85714,10.37724
42,55.33333,11.56623
