"cohort.id","mean","SE"
3,53.76470588,45.92301038
6,91.32,36.1024
9,49.88,28.34773333
12,63.875,78.61707428
15,29.58333333,12.43118687
21,30.81818182,25.1785124
18,18.18181818,25.83305785
24,23.83333333,28.17929293
27,31.85,8.9225
30,23.55,15.77618421
33,40.55,26.91302632
36,37.23809524,23.72335601
45,30.1,12.34684211
48,20.23809524,12.5185941
39,10.85,2.211973684
42,11.6,7.728421053
