"cohort.id","mean","SE"
3,35.14286,9.87886
6,61.28571,6.17489
9,51,4.95215
12,63.33333,10.9443
15,52.42857,11.80165
21,72.5,6.52048
18,64.42857,2.91839
24,61.28571,5.60915
27,85.28571,8.3144
30,79.71429,12.2954
33,66.14286,7.40472
36,55.66667,8.66282
45,33.14286,6.88486
48,37.85714,4.32285
39,60.71429,6.14009
42,48.42857,9.3168
