"cohort.id","mean","SE"
3,35,7.42582
6,47.16667,10.03919
9,61.28571,9.87955
12,55,11.87434
15,71.28571,14.29571
21,69,14.28286
18,68.14286,14.73808
24,95.83333,14.42779
27,44.85714,16.721
30,26.83333,9.26433
33,68.85714,6.69552
36,51.25,21.14779
45,81.5,12.13466
48,42.75,20.06396
39,69.42857,8.70374
42,85.25,21.53437
