"cohort.id","mean","SE"
2,9.8,1.127
5,5.55,1.19
8,6.643,1.585
11,4.292,1.075
17,4.271,0.517
26,3.219,0.501
29,3.571,0.713
32,3.25,0.386
35,3.375,0.567
44,4.625,0.547
47,4.8,0.47
50,4.5,1.012
71,9.4,3.199
