"cohort.id","mean","SE"
3,39,4.48702
6,37.88889,6.700351
9,52.375,4.75446
12,46.57143,5.20466
15,16.25,2.04197
21,28.25,3.84406
18,32,4.21731
24,19,3.0531
27,35.42857,7.60594
30,45.125,2.77384
33,41.66667,5.30199
36,47.75,8.17389
45,12.57143,2.81879
48,10.25,1.44852
39,55.375,5.4476
42,50,5.23041
