"cohort.id","mean","SE"
3,72.42857,9.36777
6,47.16667,10.03919
9,77,14.16905
12,57.85714,15.20875
15,81.57143,6.7077
21,76.71429,12.8447
18,82.85714,6.16607
24,74,5.34077
27,48,9.0396
30,67.28571,3.95639
33,73.42857,8.22267
36,95.83333,3.04868
45,89.42857,16.20091
48,81.85714,22.50865
39,72.42857,13.66061
42,64.71429,14.99637
