"cohort","mean","SE"
1,-0.103627826086957,0.244104310278261
2,0.0580547619047619,0.234410863234193
4,-0.1859675,0.27741718903951
5,-0.190844615384615,0.225588231189021
7,0.2428575,0.442812594189592
8,0.529595,0.199765
10,-0.012792,0.386133190938049
11,0.527681666666667,0.242062126350621
22,1.26300666666667,0.520460624874202
23,0.832457142857143,0.108489522331801
28,0.681445,0.145035714066123
29,0.876570625,0.111145245090485
34,0.40897,0.21442354496028
35,0.9239775,0.145821706738915
40,1.51252875,0.0927593525211012
46,0.998175714285714,0.120631482561701
