"cohort.id","mean","SE"
3,59.5,6.676532555
6,58.76,2.980648699
9,63.72,4.649200648
12,84.32,4.514317963
15,24.58333333,4.051670687
21,30.16666667,3.265599702
18,31.16666667,2.922828988
24,34.83333333,4.964774909
27,36.95238095,3.793149333
30,41,3.483976928
33,16.19047619,2.296601057
36,19,2.669046557
45,32.61904762,4.560950293
48,33.95238095,3.865892486
39,20.19047619,2.594517156
42,30.42857143,3.921595538
