"cohort.id","mean","SE"
3,9.28571,3.076132
6,25.71429,9.133179
9,43.42857,6.293826
12,28,3.891382
15,18.85714,4.717892
21,22,4.482771
18,31.57143,7.060477
24,31.42857,5.158706
27,48.71429,6.490705
30,41.28571,6.610649
33,18.42857,3.835034
36,17.85714,3.996597
45,23.57143,7.969756
48,24.85714,6.540819
39,27.57143,6.159998
42,25.83333,5.035982
