"cohort.id","mean","SE"
3,34.28571,7.67716
6,34.14286,2.9393
9,29,8.07996
12,35.33333,9.94876
15,38.28571,4.16741
21,38,4.11733
18,45.57143,7.31879
24,50.14286,5.81226
27,42.28571,4.76952
30,45.42857,7.36742
33,27.57143,4.93702
36,48.71429,20.53883
45,32.85714,8.92676
48,33.85714,7.28805
39,14.42857,7.05373
42,29.57143,6.58229
