"cohort.id","mean","SE"
3,24.57143,80.70748
6,24.57143,71.61224
9,29.57143,77.23129
12,23.85714,80.54422
15,26.14286,49.87755
21,31,93.85714
18,37.28571,55.55782
24,31.42857,101.94558
27,32.14286,35.4966
30,40,303.61905
33,19.57143,13.7551
36,14.28571,15.84354
45,33.14286,58.2585
48,41.28571,69.55782
39,26,40
42,34.28571,96.7483
