"cohort","mean","SE"
1,-0.115971304347826,0.170345314282912
2,0.233766666666667,0.127852703298111
4,0.005766875,0.160006680474386
5,0.766802051282051,0.211528905566846
7,-0.83125,0.551129884978729
8,-0.131765,0.156305
10,-0.603468,0.194990370567369
11,0.751115833333333,0.217820362776505
22,0.924363333333333,0.790645876427058
23,0.760027142857143,0.169546505471765
28,-0.339112857142857,0.170157677707732
29,-0.211016875,0.143057958157754
34,-0.559753333333333,0.222807282147101
35,0.1987625,0.262157333814861
40,0.31974375,0.240471968428291
46,0.407088571428571,0.250884299755775
