"cohort","mean","SE"
1,-0.577913913043478,0.169929882875167
2,-0.00808238095238093,0.225311757938179
4,-0.774625714285714,0.411400080242006
5,-0.361193333333333,0.457767600649548
12,-1.90014,0.65535
24,-2.45746666666667,0.396857920853855
28,-0.64725,0.154818091427757
29,-0.26566,0.428140338790916
