cross,mean,SE,sex,environ,sire,dam,
P1,26.238,0.001,U,1,,,nit
P2,23.954,0.001,U,1,,,glob
F1,19.812,0.001,U,1,,,
F2,14.926,0.001,U,1,,,
BC1,18.962,0.001,U,1,,,
BC2,17.74,0.001,U,1,,,
