cross,mean,SE,sex,environ,sire,dam
P1,10.1,0.001,U,1,,
P2,9.8,0.001,U,1,,
F1,12.1,0.001,U,1,,
F2,10.8,0.001,U,1,,
BC1,11.9,0.001,U,1,3,1
BC2,11,0.001,U,1,2,3
