cross,mean,SE,sex,environ,sire,dam
P1,83.2,0.001,U,1,,
P2,28.4,0.001,U,1,,
F1,78.2,0.001,U,1,,
F2,56.6,0.001,U,1,,
BC1,64.9,0.001,U,1,3,1
BC2,63.2,0.001,U,1,2,3
