cross,mean,SE,sex,environ,sire,dam
P1,170,0.001,U,1,,
P2,96,0.001,U,1,,
F1,130,0.001,U,1,,
F2,135,0.001,U,1,,
BC1,116,0.001,U,1,3,1
BC2,135,0.001,U,1,2,3
