cross,mean,SE,sex,environ,sire,dam
P1,176,0.001,U,1,,
P2,125,0.001,U,1,,
F1,181,0.001,U,1,,
F2,201,0.001,U,1,,
BC1,164,0.001,U,1,3,1
BC2,171,0.001,U,1,2,3
