cross,mean,SE,sex,environ,sire,dam
P1,208,0.001,U,1,,
P2,161,0.001,U,1,,
F1,255,0.001,U,1,,
F2,212,0.001,U,1,,
BC1,195,0.001,U,1,3,1
BC2,217,0.001,U,1,2,3
