cross,mean,SE,sex,environ,sire,dam
P1,84.4,0.001,U,1,,
P2,26.5,0.001,U,1,,
F1,65,0.001,U,1,,
F2,56.5,0.001,U,1,,
BC1,70.1,0.001,U,1,3,1
BC2,58.1,0.001,U,1,2,3
