cross,mean,SE,sex,environ,sire,dam
P1,8.3,0.001,U,1,,
P2,3,0.001,U,1,,
F1,6.2,0.001,U,1,,
F2,7.3,0.001,U,1,,
BC1,8.7,0.001,U,1,3,1
BC2,6.4,0.001,U,1,2,3
