cross,mean,SE,sex,environ,sire,dam
P1,6.3,0.001,U,1,,
P2,2.7,0.001,U,1,,
F1,4.3,0.001,U,1,,
F2,6,0.001,U,1,,
BC1,6.4,0.001,U,1,3,1
BC2,6.1,0.001,U,1,2,3
