cross,mean,SE,sex,environ,sire,dam
P1,33.6,0.001,U,1,,
P2,18.2,0.001,U,1,,
F1,27.5,0.001,U,1,,
F2,29.4,0.001,U,1,,
BC1,30.2,0.001,U,1,3,1
BC2,22.6,0.001,U,1,2,3
