cross,mean,SE,sex,environ,sire,dam
P1,33.1,0.001,U,1,,
P2,13.2,0.001,U,1,,
F1,22.4,0.001,U,1,,
F2,22.7,0.001,U,1,,
BC1,31.1,0.001,U,1,3,1
BC2,21.9,0.001,U,1,2,3
