cross,Aa,Ad,AaAa,AaAd,AdAd
P1,1,0,1,0,0
BC1,0.5,0.5,0.25,0.25,0.25
F1a,0,1,0,0,1
F1b,0,1,0,0,1
F2a,0,0.5,0,0,0.25
F2b,0,0.5,0,0,0.25
BC2,-0.5,0.5,0.25,-0.25,0.25
P2,-1,0,1,0,0
